school,CITY,STATE,ZIP,COUNTY
CALIFORNIA STATE UNIVERSITY MARITIME ACADEMY,VALLEJO,CA,94590,SOLANO
Cal State BAKERSFIELD,BAKERSFIELD,CA,93311,KERN
Cal State CHANCELLORS OFFICE,LONG BEACH,CA,90802,LOS ANGELES
Cal State CHANNEL ISLANDS,CAMARILLO,CA,93012,VENTURA
Cal State CHICO,CHICO,CA,95929,BUTTE
Cal State DOMINGUEZ HILLS,CARSON,CA,90747,LOS ANGELES
Cal State EAST BAY,HAYWARD,CA,94542,ALAMEDA
Cal State EAST BAY - CONCORD CAMPUS,CONCORD,CA,94521,CONTRA COSTA
Cal State EAST BAY - OAKLAND PROFESSIONAL DEVELOPMENT AND CONFERENCE CENTER CAMPUS,OAKLAND,CA,94607,ALAMEDA
Fresno State,FRESNO,CA,93740,FRESNO
Cal State Fullerton,FULLERTON,CA,92831,ORANGE
Cal State FULLERTON - IRVINE CAMPUS,IRVINE,CA,92618,ORANGE
Cal State LONG BEACH,LONG BEACH,CA,90840,LOS ANGELES
California,LOS ANGELES,CA,90032,LOS ANGELES
Cal State MONTEREY BAY,SEASIDE,CA,93955,MONTEREY
Cal State NORTHRIDGE,NORTHRIDGE,CA,91330,LOS ANGELES
Cal State SACRAMENTO,SACRAMENTO,CA,95819,SACRAMENTO
Cal State SAN BERNARDINO,SAN BERNARDINO,CA,92407,SAN BERNARDINO
Cal State SAN BERNARDINO - CSUSB PALM DESERT CAMPUS,PALM DESERT,CA,92211,RIVERSIDE
Cal State SAN MARCOS,SAN MARCOS,CA,92096,SAN DIEGO
Cal State STANISLAUS,TURLOCK,CA,95382,STANISLAUS
Cal State STANISLAUS - STANISLAUS,STOCKTON,CA,95202,SAN JOAQUIN
CALIFORNIA WESTERN SCHOOL OF LAW,SAN DIEGO,CA,92101,SAN DIEGO
CALIFORNIA-BERKELEY,BERKELEY,CA,94720,ALAMEDA
CALIFORNIA-BERKELEY - CLARK KERR CAMPUS,BERKELEY,CA,94720,ALAMEDA
CALIFORNIA-DAVIS,DAVIS,CA,95616,YOLO
CALIFORNIA-HASTINGS COLLEGE OF LAW,SAN FRANCISCO,CA,94102,SAN FRANCISCO
CALIFORNIA-IRVINE,IRVINE,CA,92697,ORANGE
CALIFORNIA-MERCED,MERCED,CA,95343,MERCED
CALIFORNIA-MERCED - CASTLE,WINTON,CA,95388,MERCED
CALIFORNIA-MERCED - DOWNTOWN CENTER,MERCED,CA,95340,MERCED
CALIFORNIA-MERCED - PROMENADE,MERCED,CA,95340,MERCED
CALIFORNIA-RIVERSIDE,RIVERSIDE,CA,92521,RIVERSIDE
CALIFORNIA-SAN DIEGO,LA JOLLA,CA,92093,SAN DIEGO
CALIFORNIA-SAN FRANCISCO,SAN FRANCISCO,CA,94143,SAN FRANCISCO
CALIFORNIA-SAN FRANCISCO - MISSION BAY,SAN FRANCISCO,CA,94158,SAN FRANCISCO
CALIFORNIA-SAN FRANCISCO - MOUNT ZION,SAN FRANCISCO,CA,94115,SAN FRANCISCO
CALIFORNIA-SANTA BARBARA,SANTA BARBARA,CA,93106,SANTA BARBARA
CALIFORNIA-SANTA CRUZ,SANTA CRUZ,CA,95064,SANTA CRUZ
CALIFORNIA-SYSTEM ADMINISTRATION CENTRAL OFFICE,OAKLAND,CA,94607,ALAMEDA
CALUMET COLLEGE OF SAINT JOSEPH,WHITING,IN,46394,LAKE
CALVIN COLLEGE,GRAND RAPIDS,MI,49546,KENT
CAMBRIDGE COLLEGE,BOSTON,MA,2129,SUFFOLK
CAMBRIDGE COLLEGE - BOSTON,BOSTON,MA,2129,SUFFOLK
CAMBRIDGE COLLEGE - LAWRENCE,LAWRENCE,MA,1841,ESSEX
CAMBRIDGE COLLEGE - PUERTO RICO,SAN PATRICIO GUAYNABO,PR,NOT AVAILABLE,GUAYNABO
CAMBRIDGE COLLEGE - SPRINGFIELD,SPRINGFIELD,MA,1115,HAMPDEN
CAMBRIDGE COLLEGE OF HEALTHCARE & TECHNOLOGY,DELRAY BEACH,FL,33484,PALM BEACH
CAMBRIDGE INSTITUTE OF ALLIED HEALTH & TECHNOLOGY,ALTAMONTE SPRINGS,FL,32701,SEMINOLE
CAMBRIDGE TECHNICAL INSTITUTE,SAN JUAN,PR,918,SAN JUAN
CAMDEN COUNTY COLLEGE,BLACKWOOD,NJ,8012,CAMDEN
CAMDEN COUNTY COLLEGE - CAMDEN CITY CAMPUS,CAMDEN,NJ,8102,CAMDEN
CAMDEN COUNTY COLLEGE - CHERRY HILL CAMPUS,CHERRY HILL,NJ,8003,CAMDEN
CAMERON UNIVERSITY,LAWTON,OK,73505,COMANCHE
CAMPBELL UNIVERSITY,BUIES CREEK,NC,27506,HARNETT
CAMPBELLSVILLE UNIVERSITY,CAMPBELLSVILLE,KY,42718,TAYLOR
CANADA COLLEGE,REDWOOD CITY,CA,94061,SAN MATEO
CANADIAN VALLEY TECHNOLOGY CENTER,EL RENO,OK,73036,CANADIAN
CANISIUS COLLEGE,BUFFALO,NY,14208,ERIE
CANTON CITY SCHOOLS ADULT CAREER AND TECHNICAL EDUCATION,CANTON,OH,44705,STARK
CAPE COD COMMUNITY COLLEGE,WEST BARNSTABLE,MA,2668,BARNSTABLE
CAPE CORAL TECHNICAL COLLEGE,CAPE CORAL,FL,33993,LEE
CAPE FEAR COMMUNITY COLLEGE,WILMINGTON,NC,28401,NEW HANOVER
