,fname,lname,g,pts,trb,ast,fgp,fg3p,ftp,efgp,per,ws
1606,Hank,McDowell,206,2.9,2.3,0.5,45.1,0.0,71.0,45.1,10.0,2.0
1607,Antonio,McDyess,1015,12.0,7.5,1.3,49.7,11.7,67.0,49.7,17.2,69.8
1608,Jim,McElroy,418,9.9,2.0,3.5,46.8,20.6,76.4,46.9,12.9,14.0
1609,Ivan,McFarlin,11,1.4,1.0,0.1,38.5,0.0,71.4,38.5,12.2,0.1
1610,Mitch,McGary,52,4.4,3.5,0.3,52.7,0.0,58.0,52.7,15.4,1.3
1611,Mike,McGee,520,9.6,2.1,1.2,48.7,35.4,59.7,52.3,14.0,15.1
1612,Bill,McGill,295,10.5,4.4,1.1,51.4,-,70.1,51.4,19.0,16.9
1613,George,McGinnis,842,20.2,11.0,3.7,45.8,27.3,66.4,46.1,20.0,74.6
1614,Tracy,McGrady,938,19.6,5.6,4.4,43.5,33.8,74.6,47.0,22.1,97.3
1615,Dominic,McGuire,342,2.7,3.4,1.2,41.9,18.8,65.8,42.0,9.8,4.1
1616,Kevin,McHale,971,17.9,7.3,1.7,55.4,26.1,79.8,55.5,20.0,113.0
1617,Jim,McIlvaine,401,2.7,3.1,0.3,44.6,10.0,55.1,44.7,10.0,9.4
1618,Jeff,McInnis,576,9.4,2.0,4.4,43.1,32.8,79.6,46.1,12.6,23.1
1619,Kevin,McKenna,243,5.4,1.3,1.4,41.4,36.7,81.9,45.6,10.5,4.0
1620,Forrest,McKenzie,6,2.8,1.2,0.2,25.0,50.0,100.0,26.8,-2.2,-0.2
1621,Derrick,McKey,937,11.0,4.7,2.4,48.6,31.6,77.9,49.8,13.9,61.8
1622,Aaron,McKie,793,7.4,3.3,2.7,43.8,35.0,77.9,47.5,12.8,40.0
1623,Trey,McKinney-Jones,1,0.0,0.0,0.0,-,-,-,-,0.0,0.0
1624,Billy,McKinney,476,8.0,1.4,3.5,49.3,6.3,82.0,49.3,13.7,15.6
1625,Carlton,McKinney,9,2.4,1.4,0.8,24.4,0.0,50.0,24.4,-0.1,-0.3
1626,Keith,McLeod,200,5.5,1.3,2.7,35.7,28.2,80.0,38.6,9.6,1.9
1627,Roshown,McLeod,113,7.2,2.7,1.1,40.9,11.1,81.9,41.2,10.1,0.2
1628,Nate,McMillan,796,5.9,4.0,6.1,44.3,34.3,65.0,47.9,14.5,50.2
1629,Tom,McMillen,729,8.1,4.0,1.1,48.3,12.0,80.6,48.3,12.2,27.2
1630,Mark,McNamara,278,3.5,3.0,0.3,51.2,-,54.8,51.2,10.8,2.8
1631,Jerel,McNeal,6,1.5,0.5,0.3,27.3,50.0,100.0,31.8,1.2,-0.1
1632,Chris,McNealy,108,4.3,4.6,1.0,45.6,-,65.8,45.6,10.3,2.6
1633,Paul,McPherson,55,4.8,1.4,0.7,50.5,16.7,72.4,50.9,13.6,0.9
1634,Cozell,McQueen,3,2.0,2.7,0.0,100.0,-,-,100.0,58.3,0.1
1635,Josh,McRoberts,433,5.4,3.9,2.1,46.3,34.0,70.5,51.3,13.2,18.5
1636,Darnell,Mee,40,1.9,0.9,0.5,31.2,22.2,44.4,34.4,6.5,-0.1
1637,Jodie,Meeks,539,9.3,2.1,1.1,42.0,37.3,87.9,51.7,12.8,24.3
1638,Scott,Meents,39,1.8,1.0,0.4,36.1,100.0,70.4,36.8,11.2,0.1
1639,Salah,Mejri,204,3.4,4.0,0.5,60.3,29.3,59.0,61.6,16.3,8.1
1640,Gal,Mekel,35,2.3,0.8,2.2,31.1,21.7,66.7,33.5,4.8,-0.7
1641,Bill,Melchionni,646,10.6,2.0,5.0,45.9,23.6,80.9,46.2,13.8,28.8
1642,Fab,Melo,6,1.2,0.5,0.0,50.0,-,25.0,50.0,4.9,0.0
1643,John,Mengelt,636,9.8,1.9,2.1,47.9,0.0,80.9,47.9,14.6,27.9
1644,Pops,Mensah-Bonsu,61,3.0,3.0,0.2,41.0,0.0,58.9,41.0,12.4,0.4
1645,Ron,Mercer,432,13.6,3.1,2.1,42.9,25.0,80.8,43.4,12.5,9.4
1646,Joe,Meriweather,670,8.1,5.6,0.9,51.1,33.3,68.7,51.1,12.7,27.6
1647,Loren,Meyer,140,4.6,3.4,0.6,43.2,34.8,69.6,43.9,8.5,0.5
1648,Dave,Meyers,281,11.2,6.3,2.3,46.1,20.0,67.6,46.1,14.1,13.4
1649,Larry,Micheaux,96,3.4,2.7,0.5,56.7,0.0,61.0,56.7,15.3,2.5
1650,Jordan,Mickey,64,2.4,2.0,0.3,44.9,11.8,60.5,45.7,10.9,0.5
1651,Chris,Mihm,436,7.5,5.3,0.5,45.9,23.1,70.4,45.9,13.4,13.3
1652,Aaron,Miles,19,0.8,0.7,1.3,33.3,-,100.0,33.3,6.0,0.0
1653,Darius,Miles,446,10.1,4.9,1.9,47.2,16.8,59.0,47.4,13.9,9.5
1654,Marko,Milic,44,2.5,0.7,0.3,56.0,42.9,64.7,57.7,14.9,0.2
1655,Darko,Milicic,468,6.0,4.2,0.9,46.0,0.0,57.4,46.0,12.3,7.1
1656,Andre,Miller,181,2.8,2.7,0.4,51.0,25.0,57.6,51.3,13.6,3.8
1657,Anthony,Miller,181,2.8,2.7,0.4,51.0,25.0,57.6,51.3,13.6,3.8
1658,Bob,Miller,2,2.0,2.5,0.5,66.7,-,-,66.7,25.0,0.1
1659,Brad,Miller,868,11.2,7.1,2.8,48.0,33.0,80.4,49.4,17.5,76.5
1660,Darius,Miller,253,6.0,1.7,1.4,41.8,38.2,83.0,54.8,8.4,5.9
1661,Dick,Miller,8,1.0,0.9,0.6,44.4,0.0,-,44.4,3.3,-0.1
1662,Jay,Miller,117,5.5,1.8,0.4,41.5,0.0,71.7,41.5,11.9,1.4
1663,Mike,Miller,1032,10.6,4.2,2.6,45.9,40.7,76.9,55.0,14.3,60.7
1664,Oliver,Miller,493,7.4,5.9,2.2,53.4,11.6,63.9,53.5,15.2,21.1
1665,Quincy,Miller,69,4.3,2.4,0.5,35.0,29.2,70.6,40.4,8.4,-0.1
1666,Reggie,Miller,1389,18.2,3.0,3.0,47.1,39.5,88.8,54.4,18.4,174.4
1667,Chris,Mills,568,11.2,4.9,1.9,43.2,35.1,81.7,47.1,13.3,37.7
1668,Terry,Mills,678,10.6,5.4,1.3,45.7,38.4,78.1,50.0,14.7,33.3
1669,Elijah,Millsap,69,4.2,2.8,1.1,32.7,27.9,67.9,37.9,7.4,0.4
1670,Harold,Miner,200,9.0,2.2,1.2,46.0,31.1,78.5,46.8,12.6,4.2
1671,Dirk,Minniefield,222,5.3,1.7,3.8,47.0,27.2,73.9,48.1,11.4,4.1
1672,Greg,Minor,277,6.9,2.7,1.4,47.8,22.6,76.7,48.5,12.9,8.2
1673,Nikola,Mirotic,319,12.3,5.9,1.3,42.3,35.9,80.8,52.2,16.7,20.8
1674,Jason,Miskiri,1,0.0,0.0,1.0,0.0,0.0,-,0.0,-12.4,0.0
1675,Mike,Mitchell,759,19.8,5.6,1.3,49.3,21.6,77.9,49.4,16.7,50.2
1676,Sam,Mitchell,994,8.7,3.7,1.1,44.7,22.3,78.4,45.1,12.6,41.7
1677,Todd,Mitchell,24,5.1,2.1,0.9,44.3,-,57.8,44.3,7.5,-0.1
1678,Tony,Mitchell,24,5.1,2.1,0.9,44.3,-,57.8,44.3,7.5,-0.1
1679,Tony,Mitchell,24,5.1,2.1,0.9,44.3,-,57.8,44.3,7.5,-0.1
1680,Steve,Mix,788,10.6,5.3,1.8,49.9,28.6,80.3,49.9,16.2,57.6
1681,Cuttino,Mobley,747,16.0,3.9,2.7,43.3,37.8,83.5,48.7,14.4,52.2
1682,Eric,Mobley,113,3.9,3.1,0.5,54.1,75.0,47.5,54.5,10.6,1.1
1683,Nazr,Mohammed,1005,5.8,4.7,0.4,48.6,0.0,64.0,48.6,15.0,34.3
1684,Jerome,Moiso,145,2.7,2.7,0.3,48.9,0.0,59.3,48.9,12.1,2.1
1685,Paul,Mokeski,694,4.0,3.4,0.7,45.1,21.6,69.4,45.3,8.9,13.5
1686,Wayne,Molis,59,4.7,3.3,0.7,41.7,66.7,64.9,42.0,17.8,1.0
1687,Sidney,Moncrief,767,15.6,4.7,3.6,50.2,28.4,83.1,50.9,18.7,90.3
1688,Eric,Money,426,12.2,2.1,3.8,49.4,-,74.8,49.4,14.5,14.8
1689,Sergei,Monia,26,3.0,2.0,0.7,33.3,26.5,71.4,38.5,6.3,-0.2
1690,Earl,Monroe,926,18.8,3.0,3.9,46.4,-,80.7,46.4,17.2,77.4
1691,Greg,Monroe,632,13.2,8.3,2.1,51.4,5.9,70.4,51.4,20.1,49.7
1692,Rodney,Monroe,38,3.4,0.9,0.7,36.8,22.2,82.6,38.9,8.8,-0.2
1693,Luis,Montero,14,1.0,0.4,0.1,25.0,11.1,75.0,27.5,-4.8,-0.3
1694,Eric,Montross,465,4.5,4.6,0.4,49.0,0.0,47.8,49.0,9.1,8.5
1695,Jamario,Moon,286,6.3,4.3,1.0,46.1,32.9,80.3,51.8,13.1,14.3
1696,Andre,Moore,10,2.4,1.4,0.6,33.3,-,75.0,33.3,12.1,0.0
1697,Ben,Moore,2,0.0,0.5,0.5,-,-,-,-,-2.3,0.0
1698,Johnny,Moore,520,9.4,3.0,7.4,46.0,25.1,71.2,47.1,16.7,30.1
1699,Lowes,Moore,112,6.7,2.0,2.8,44.2,20.0,75.0,45.0,10.7,1.5
1700,Mikki,Moore,564,5.8,3.9,0.7,55.1,15.4,74.3,55.1,12.5,22.5
1701,Ron,Moore,14,1.7,0.6,0.1,31.0,-,75.0,31.0,2.0,-0.1
1702,Tracy,Moore,119,7.0,1.5,1.0,40.4,34.4,83.8,45.6,12.7,1.8
1703,Eric,Moreland,83,1.9,3.7,1.0,53.7,100.0,39.4,54.0,13.3,2.3
1704,Jackie,Moreland,582,9.8,5.9,1.6,42.0,30.0,72.1,42.0,13.0,19.1
1705,Guy,Morgan,8,1.9,2.1,0.9,29.2,-,25.0,29.2,9.9,-0.1
1706,Darren,Morningstar,23,4.2,3.5,0.7,47.6,-,60.0,47.6,8.9,0.4
1707,Chris,Morris,747,11.0,4.7,1.6,44.1,30.6,73.9,47.5,15.1,37.4
1708,Darius,Morris,132,3.3,1.0,1.4,38.4,32.2,63.0,43.9,7.7,-0.3
1709,Isaiah,Morris,25,2.2,0.5,0.2,45.6,-,75.0,45.6,10.6,0.0
1710,Jaylen,Morris,10,3.8,2.1,1.1,40.5,23.1,50.0,44.0,7.8,-0.1
1711,Randolph,Morris,74,1.9,1.4,0.1,42.6,-,54.5,42.6,6.4,-0.1
1712,Terence,Morris,139,3.4,2.7,0.7,40.7,19.6,71.1,42.8,9.9,1.0
1713,Adam,Morrison,161,7.5,2.1,1.4,37.3,33.1,71.0,42.3,7.4,-1.4
1714,Mike,Morrison,36,2.0,0.6,0.3,33.8,28.6,80.0,35.3,4.2,-0.3
1715,Anthony,Morrow,564,9.4,2.2,0.9,44.7,41.7,88.0,53.9,13.2,23.2
1716,Dwayne,Morton,41,4.1,1.4,0.4,38.8,36.0,68.2,42.2,11.0,0.2
1717,John,Morton,128,4.8,1.3,2.7,38.6,22.4,78.7,39.9,10.5,0.5
1718,Richard,Morton,2,3.0,0.0,0.5,75.0,-,-,75.0,12.9,0.0
1719,Perry,Moss,136,3.9,1.5,1.5,41.5,17.4,72.2,42.3,9.2,0.9
1720,Lawrence,Moten,119,6.3,1.5,1.5,40.8,29.9,65.2,45.0,12.6,0.0
1721,Donatas,Motiejunas,251,7.3,3.8,1.1,46.9,30.0,59.7,50.8,12.4,7.1
1722,Hanno,Mottola,155,4.6,2.9,0.5,44.2,6.3,78.3,44.3,8.1,0.9
1723,Arnett,Moultrie,59,3.6,3.1,0.2,54.7,-,66.7,54.7,14.1,1.7
1724,Alonzo,Mourning,838,17.1,8.5,1.1,52.7,24.7,69.2,52.9,21.2,89.7
1725,Timofey,Mozgov,454,6.8,4.9,0.6,53.5,19.0,73.8,53.7,14.7,17.7
1726,Erwin,Mueller,445,7.4,4.7,2.0,42.6,-,62.3,42.6,11.1,9.1
1727,Shabazz,Muhammad,278,9.0,2.8,0.5,47.3,31.9,75.1,50.4,15.9,8.5
1728,Byron,Mullens,189,7.4,4.2,0.8,40.8,31.9,70.6,44.8,12.2,0.6
1729,Chris,Mullin,986,18.2,4.1,3.5,50.9,38.4,86.5,54.0,18.8,93.1
1730,Todd,Mundt,33,1.1,0.8,0.1,39.0,-,62.5,39.0,7.0,0.1
1731,Chris,Munk,11,1.2,1.3,0.1,42.9,-,58.3,42.9,14.5,0.0
1732,Eric,Murdock,508,10.1,2.5,4.9,43.8,34.3,78.6,47.3,17.4,25.6
1733,Gheorghe,Muresan,307,9.8,6.4,0.5,57.3,0.0,64.4,57.3,18.1,19.0
1734,Allen,Murphy,31,3.8,1.6,0.4,37.0,0.0,68.2,37.0,8.0,-0.1
1735,Calvin,Murphy,1002,17.9,2.1,4.4,48.2,13.9,89.2,48.3,18.0,84.1
1736,Erik,Murphy,24,0.3,0.3,0.1,23.1,0.0,-,23.1,0.2,-0.1
1737,Jay,Murphy,67,2.4,1.7,0.2,33.2,0.0,60.7,33.2,6.7,-0.5
1738,Kevin,Murphy,17,0.9,0.2,0.1,25.0,20.0,-,26.8,-4.5,-0.3
1739,Ronnie,Murphy,18,2.0,0.6,0.3,28.6,25.0,63.6,29.6,2.9,-0.2
1740,Tod,Murphy,191,5.5,4.9,1.0,45.4,29.0,67.9,46.4,11.9,8.0
1741,Troy,Murphy,729,10.8,7.8,1.5,44.5,38.8,78.5,49.3,15.4,50.3
1742,Lamond,Murray,736,11.3,4.1,1.3,43.0,36.0,75.9,46.6,14.1,19.8
1743,Tracy,Murray,659,9.0,2.5,0.8,43.0,38.8,82.9,50.4,14.6,24.1
1744,Toure',Murry,56,2.6,0.8,0.9,43.3,41.7,61.0,45.1,10.7,-0.1
1745,Jerrod,Mustaf,179,4.0,2.5,0.6,44.9,0.0,64.8,44.9,10.7,1.7
1746,Dikembe,Mutombo,1196,9.8,10.3,1.0,51.8,0.0,68.4,51.8,17.2,117.0
1747,Martin,Muursepp,83,4.7,2.2,0.6,42.5,32.3,69.3,45.7,14.9,2.0
1748,Pete,Myers,377,4.8,1.8,2.1,42.1,21.9,66.8,43.1,9.9,5.8
1749,Bostjan,Nachbar,317,7.1,2.6,0.9,40.6,37.5,78.4,49.4,11.5,8.7
1750,Lee,Nailon,306,8.6,3.1,1.0,47.4,11.1,78.6,47.4,14.0,8.0
1751,Eduardo,Najera,619,4.9,3.7,0.8,48.1,31.1,67.1,50.3,12.0,24.7
1752,Larry,Nance Jr.,920,17.1,8.0,2.6,54.6,14.5,75.5,54.6,19.9,109.6
1753,Larry,Nance,920,17.1,8.0,2.6,54.6,14.5,75.5,54.6,19.9,109.6
1754,Bob,Nash,236,4.7,2.3,0.7,42.9,0.0,72.9,42.9,11.1,2.4
1755,Steve,Nash,1217,14.3,3.0,8.5,49.0,42.8,90.4,55.6,20.0,129.7
1756,Swen,Nater,722,12.4,11.6,1.7,53.5,10.0,74.8,53.5,17.6,58.5
1757,Howard,Nathan,5,2.6,0.0,0.4,55.6,0.0,75.0,55.6,11.3,-0.1
1758,Calvin,Natt,599,17.2,6.8,2.2,52.8,21.9,76.8,52.9,17.9,57.2
1759,Kenny,Natt,49,3.1,0.8,0.8,41.7,20.0,62.1,42.3,7.3,-0.2
1760,Juan Carlos,Navarro,82,10.9,2.6,2.2,40.2,36.1,84.9,50.4,11.9,1.4
1761,Hamady,Ndiaye,33,0.6,0.8,0.1,46.7,-,46.2,46.7,3.9,0.0
1762,Boniface,Ndong,23,2.2,1.6,0.3,41.5,0.0,66.7,41.5,11.0,0.2
1763,Maurice,Ndour,32,3.1,2.0,0.3,45.3,14.3,73.1,45.9,11.3,0.4
1764,Craig,Neal,63,2.5,0.7,2.5,37.3,30.2,60.0,41.5,7.0,-0.4
1765,Gary,Neal,352,9.9,2.2,1.6,42.2,38.2,85.0,49.8,12.6,10.7
1766,Ed,Nealy,540,2.7,3.3,0.7,49.8,29.2,68.4,51.5,10.5,15.2
1767,Nemanja,Nedovic,24,1.1,0.6,0.5,20.5,16.7,87.5,24.4,-1.7,-0.4
1768,DeMarcus,Nelson,13,4.1,1.8,1.0,44.4,0.0,35.7,44.4,6.5,-0.3
1769,Jameer,Nelson,878,11.3,3.0,5.1,43.6,36.8,81.0,50.2,14.4,48.3
1770,Ruben,Nembhard,10,4.0,0.8,1.7,43.2,0.0,80.0,43.2,13.3,0.2
1771,Tyrone,Nesby,255,9.5,3.7,1.5,40.4,31.6,77.2,44.6,12.7,7.6
1772,Martin,Nessley,44,1.1,1.9,0.4,38.5,-,44.4,38.5,2.8,-0.1
1773,Rasho,Nesterovic,811,6.8,5.1,1.0,50.2,7.7,58.5,50.2,13.3,39.9
1774,Johnny,Neumann,455,13.2,2.7,3.0,43.3,26.9,76.4,44.6,14.0,9.3
1775,Chuck,Nevitt,155,1.6,1.5,0.1,43.8,-,58.9,43.8,9.1,0.5
1776,Melvin,Newbern,33,3.6,1.1,1.7,37.2,12.5,56.7,37.6,11.5,0.0
1777,Ivano,Newbill,134,1.5,2.6,0.4,39.4,100.0,43.3,39.6,7.0,1.1
1778,Ira,Newble,380,5.1,2.9,0.9,44.6,34.1,77.8,47.0,9.6,9.3
1779,Mike,Newlin,837,14.9,3.0,4.0,46.6,30.2,87.0,46.9,15.5,50.4
1780,Johnny,Newman,1159,11.0,2.2,1.5,46.1,33.6,81.0,49.2,12.9,50.3
1781,Dave,Newmark,176,5.7,3.9,0.7,42.0,-,64.9,42.0,12.3,1.9
1782,Demetris,Nichols,18,1.2,0.4,0.1,28.1,20.0,50.0,32.8,0.7,-0.2
1783,Andrew,Nicholson,285,6.0,3.0,0.4,46.7,32.1,77.3,49.5,12.2,3.8
1784,Gaylon,Nickerson,4,3.8,1.3,0.3,33.3,0.0,100.0,33.3,12.9,0.1
1785,Carl,Nicks,156,6.8,1.9,1.6,46.2,0.0,57.0,46.2,10.5,-0.4
1786,Rich,Niemann,187,6.6,5.8,0.8,47.6,-,73.5,47.6,14.9,7.3
1787,Mike,Niles,44,2.6,1.3,0.3,34.8,50.0,45.9,35.5,6.7,-0.3
1788,Kurt,Nimphius,564,6.4,4.4,1.2,48.7,10.0,66.8,48.7,11.8,17.5
1789,Dyron,Nix,20,2.0,1.3,0.3,35.9,-,68.8,35.9,8.2,0.0
1790,Norm,Nixon,768,15.7,2.6,8.3,48.3,29.4,77.2,48.8,15.3,47.6
1791,Joakim,Noah,667,8.8,9.1,2.8,49.1,0.0,70.0,49.1,17.6,61.8
1792,Andres,Nocioni,514,10.5,4.5,1.2,43.1,37.3,79.9,49.7,12.9,21.8
1793,David,Noel,68,2.7,1.8,1.0,36.7,32.1,86.0,41.5,9.0,0.4
1794,Lucas,Nogueira,141,3.2,2.8,0.5,63.2,26.5,64.0,64.8,15.8,6.0
1795,Jeff,Nordgaard,13,1.4,1.1,0.2,27.8,-,88.9,27.8,11.6,0.0
1796,Ken,Norman,646,13.5,6.1,2.1,48.6,31.2,56.7,50.1,14.5,27.1
1797,Audie,Norris,187,4.4,3.1,0.8,51.1,0.0,66.2,51.1,9.1,2.9
1798,Moochie,Norris,445,5.1,2.0,2.8,40.1,28.6,74.0,43.0,13.0,10.0
1799,Sylvester,Norris,17,2.4,2.5,0.4,41.9,-,66.7,41.9,3.3,-0.2
1800,Steve,Novak,467,4.7,1.3,0.3,43.7,43.0,87.7,60.5,12.7,14.5
1801,Mel,Nowell,115,8.4,2.3,2.1,39.8,28.1,80.3,40.3,11.6,2.6
1802,Dirk,Nowitzki,1522,20.7,7.5,2.4,47.1,38.0,87.9,51.2,22.4,206.3
1803,James,Nunnally,28,2.9,0.9,0.5,33.8,32.0,76.9,43.8,6.6,0.0
1804,Jusuf,Nurkic,310,11.6,8.0,1.9,49.1,7.1,66.6,49.2,19.1,16.4
1805,Dennis,Nutt,25,2.3,0.3,0.6,40.0,29.4,90.9,46.3,20.0,0.3
1806,Julius,Nwosu,23,1.3,1.0,0.1,32.1,-,76.5,32.1,6.8,0.0
1807,Charles,Oakley,1282,9.7,9.5,2.5,47.1,25.3,76.1,47.4,13.4,89.7
1808,Fabricio,Oberto,336,3.2,3.5,0.9,57.6,0.0,61.7,57.6,11.2,13.6
1809,Daniel,Ochefu,19,1.3,1.2,0.2,44.4,-,0.0,44.4,6.6,0.0
1810,Greg,Oden,105,8.0,6.2,0.5,57.4,-,65.8,57.4,18.7,7.3
1811,Lamar,Odom,961,13.3,8.4,3.7,46.3,31.2,69.3,49.5,16.5,77.0
1812,Alan,Ogg,80,2.2,1.7,0.2,49.3,0.0,56.8,49.3,9.1,0.8
1813,Tim,Ohlbrecht,3,1.0,0.3,0.3,33.3,-,100.0,33.3,-6.1,-0.1
1814,Emeka,Okafor,616,12.0,9.7,0.8,51.2,0.0,58.6,51.2,17.0,45.3
1815,Mehmet,Okur,634,13.5,7.0,1.7,45.8,37.5,79.7,50.3,17.1,54.7
1816,Hakeem,Olajuwon,1238,21.8,11.1,2.5,51.2,20.2,71.2,51.3,23.6,162.8
1817,Mark,Olberding,946,9.5,5.3,2.5,49.2,12.2,80.8,49.2,12.6,48.0
1818,Jawann,Oldham,329,4.4,4.1,0.5,47.9,0.0,60.7,47.9,10.7,4.3
1819,John,Olive,35,1.3,0.6,0.1,31.0,-,78.3,31.0,1.0,-0.2
1820,Brian,Oliver,118,3.3,1.0,1.0,38.8,22.7,70.5,39.4,8.1,-0.5
1821,Dean,Oliver,35,1.8,0.7,1.3,32.0,15.8,76.5,34.0,8.1,-0.2
1822,Jimmy,Oliver,78,4.2,1.0,0.7,40.7,34.0,77.2,43.2,9.9,0.3
1823,Kevin,Ollie,662,3.8,1.5,2.3,41.0,31.0,79.2,41.2,10.9,14.5
1824,Michael,Olowokandi,500,8.3,6.8,0.7,43.5,-,59.7,43.5,10.7,2.5
1825,Arinze,Onuaku,19,1.8,1.8,0.5,65.2,-,40.0,65.2,14.5,0.2
1826,Chinanu,Onuaku,6,3.0,2.3,0.7,58.3,-,100.0,58.3,7.7,0.1
1827,Barry,Orms,141,6.3,3.6,1.3,37.0,19.2,53.9,37.2,6.4,-0.8
1828,Louis,Orr,569,9.7,3.7,1.5,46.8,8.3,78.7,46.8,13.4,25.7
1829,Jose,Ortiz,64,2.9,1.1,0.3,44.3,33.3,59.6,44.6,9.4,0.0
1830,Daniel,Orton,51,2.8,2.5,0.5,48.5,0.0,59.7,48.5,11.9,1.0
1831,Greg,Ostertag,756,4.6,5.5,0.6,48.6,10.0,56.9,48.6,13.1,33.8
1832,Matt,Othick,4,2.0,0.5,1.8,60.0,50.0,0.0,80.0,5.9,0.0
1833,Bo,Outlaw,914,5.4,4.9,1.6,56.7,7.9,52.1,56.8,14.2,50.8
1834,Travis,Outlaw,622,8.5,3.2,0.8,42.3,33.7,74.4,46.0,13.1,16.5
1835,Doug,Overton,499,4.5,1.3,2.1,41.2,31.9,81.6,43.8,10.0,2.5
1836,Andre,Owens,54,3.6,1.3,1.0,37.0,37.5,71.2,42.8,8.3,0.2
1837,Billy,Owens,600,11.7,6.7,2.8,48.1,29.1,62.9,48.8,14.4,28.6
1838,Chris,Owens,1,4.0,1.0,0.0,66.7,-,-,66.7,20.1,0.0
1839,Keith,Owens,20,1.3,0.8,0.2,28.1,-,80.0,28.1,10.3,0.0
1840,Larry,Owens,19,2.8,1.5,0.6,44.2,44.4,53.8,53.5,9.4,0.3
1841,Tom,Owens,877,11.3,6.8,1.7,51.3,21.7,74.3,51.4,16.7,61.5
1842,Ray,Owes,57,3.1,2.9,0.3,41.7,20.0,56.5,41.9,11.1,0.4
1843,Olumide,Oyedeji,93,1.4,2.1,0.1,49.5,-,65.9,49.5,10.5,1.2
1844,Zaza,Pachulia,1098,6.8,5.8,1.3,46.9,0.0,75.1,46.9,14.6,52.7
1845,Robert,Pack,552,8.9,2.0,4.6,42.5,29.2,78.7,43.9,15.0,14.4
1846,Gerald,Paddio,129,5.5,1.4,1.0,42.1,24.2,74.6,42.6,10.6,0.1
1847,Scott,Padgett,448,4.2,2.7,0.7,41.0,37.3,73.6,48.2,12.9,13.2
1848,Marcus,Paige,5,2.4,0.8,0.6,28.6,25.0,100.0,35.7,9.1,0.0
1849,Milt,Palacio,470,4.8,1.8,2.5,41.9,23.5,71.9,42.9,9.9,3.9
1850,Walter,Palmer,48,2.1,1.4,0.2,41.2,0.0,66.7,41.2,11.0,-0.1
1851,Andy,Panko,1,0.0,0.0,0.0,-,-,-,-,0.0,0.0
1852,Georgios,Papagiannis,39,4.1,3.2,0.7,51.4,0.0,85.7,51.4,12.6,0.4
1853,Kostas,Papanikolaou,69,3.6,2.3,1.5,35.4,29.7,68.8,43.2,7.3,0.3
1854,Jannero,Pargo,499,6.4,1.4,2.0,39.1,35.6,86.4,45.5,11.8,4.9
1855,Robert,Parish,1611,14.5,9.1,1.4,53.7,0.0,72.1,53.7,19.2,147.0
1856,Anthony,Parker,494,9.1,3.2,2.3,44.4,40.4,79.4,52.3,12.2,24.5
1857,Smush,Parker,274,9.0,2.4,2.9,42.6,34.5,70.8,49.4,11.7,7.4
1858,Sonny,Parker,452,9.9,4.1,2.1,50.1,0.0,75.5,50.1,15.6,26.9
1859,Tony,Parker,1254,15.5,2.7,5.6,49.1,32.4,75.1,50.8,18.2,111.3
1860,Cherokee,Parks,2,0.0,0.0,0.0,0.0,-,-,0.0,-10.8,0.0
1861,Zarko,Paspalj,28,2.6,1.1,0.4,34.2,0.0,81.8,34.2,4.3,-0.3
1862,Myles,Patrick,3,1.7,0.7,0.3,40.0,-,50.0,40.0,6.9,0.0
1863,Andrae,Patterson,40,3.0,1.7,0.4,45.5,0.0,77.8,45.5,14.3,0.7
1864,Lamar,Patterson,40,2.3,1.4,1.1,32.6,23.6,72.0,39.5,4.4,0.1
1865,Ruben,Patterson,649,10.7,4.2,1.8,51.7,17.9,64.1,52.0,17.1,35.1
1866,Brandon,Paul,64,2.3,1.1,0.6,43.3,27.8,51.2,49.2,7.4,0.5
1867,Billy,Paultz,1124,11.7,8.0,2.0,49.7,0.0,69.0,49.7,16.3,70.4
1868,John,Paxson,772,7.2,1.2,3.6,49.9,35.5,80.4,52.8,12.0,36.3
1869,Adreian,Payne,107,4.0,2.9,0.6,40.6,25.4,68.0,42.3,8.0,-0.6
1870,Cameron,Payne,153,6.0,1.8,2.5,39.7,33.1,77.5,46.5,11.4,2.2
1871,Kenny,Payne,144,3.5,1.2,0.4,41.0,29.3,85.9,42.6,10.3,-0.1
1872,Gary,Payton II,1335,16.3,3.9,6.7,46.6,31.7,72.9,49.6,18.9,145.5
1873,Gary,Payton,1335,16.3,3.9,6.7,46.6,31.7,72.9,49.6,18.9,145.5
1874,Oleksiy,Pecherov,111,3.9,2.4,0.2,38.6,29.0,79.3,44.1,11.9,0.5
1875,Wiley,Peck,52,3.5,3.5,0.6,43.2,0.0,61.8,43.2,8.9,0.3
1876,Anthony,Peeler,827,9.7,2.6,2.4,42.7,38.4,79.9,49.2,12.9,30.7
1877,Nikola,Pekovic,271,12.6,6.7,0.7,51.8,-,76.0,51.8,18.6,18.8
1878,Sam,Pellom,196,4.4,3.5,0.5,46.4,0.0,72.4,46.4,10.9,4.6
1879,Mike,Penberthy,56,4.9,1.2,1.3,41.5,39.6,88.6,53.8,11.5,1.7
1880,Desmond,Penigar,10,3.2,2.4,0.3,50.0,-,100.0,50.0,12.9,0.1
1881,Kirk,Penney,6,0.8,0.3,0.3,22.2,25.0,-,27.8,-6.0,-0.2
1882,Mike,Peplowski,68,2.9,2.6,0.4,55.6,0.0,53.1,55.6,9.8,1.0
