,fname,lname,g,pts,trb,ast,fgp,fg3p,ftp,efgp,per,ws
914,Danny,Green,823,10.2,7.9,2.0,47.7,13.8,76.5,47.8,13.6,46.4
915,Devin,Green,27,0.9,0.9,0.3,21.4,0.0,61.9,21.4,4.7,-0.1
916,Erick,Green,52,3.1,0.7,0.8,37.7,28.8,85.7,42.0,9.3,0.1
917,Gerald,Green,658,9.7,2.5,0.9,41.7,36.1,81.8,50.4,13.0,18.4
918,Ken,Green,7,4.4,3.9,0.3,48.1,-,55.6,48.1,19.3,0.3
919,Kenny,Green,7,4.4,3.9,0.3,48.1,-,55.6,48.1,19.3,0.3
920,Lamar,Green,411,5.2,6.2,0.8,43.0,-,66.0,43.0,10.6,7.4
921,Litterial,Green,148,2.9,0.5,1.2,42.0,7.7,66.5,42.3,11.6,1.6
922,Luther,Green,90,4.3,3.6,0.3,38.3,0.0,50.7,38.3,10.5,-0.5
923,Mike,Green,459,11.5,6.9,1.3,48.0,8.3,73.2,48.0,16.3,27.6
924,Rickey,Green,946,9.4,1.9,5.5,46.9,20.7,80.7,47.1,15.3,47.2
925,Sean,Green,84,4.2,1.0,0.5,38.6,24.6,62.0,40.5,9.7,-1.3
926,Steve,Green,205,5.8,2.4,0.8,44.1,0.0,73.0,44.1,12.0,3.4
927,Taurean,Green,17,1.6,0.6,0.6,28.0,18.2,91.7,32.0,7.0,-0.1
928,Willie,Green,731,8.3,1.8,1.4,42.5,34.6,76.5,47.1,11.0,12.9
929,Donte,Greene,253,6.1,2.4,0.7,40.6,30.4,70.1,46.3,10.0,1.5
930,Orien,Greene,131,2.5,1.5,1.2,38.7,21.2,64.2,40.4,6.1,-0.7
931,David,Greenwood,823,10.2,7.9,2.0,47.7,13.8,76.5,47.8,13.6,46.4
932,Lynn,Greer,41,4.1,0.7,1.3,43.3,34.6,84.4,49.6,14.0,0.7
933,Gary,Gregor,361,8.9,6.3,1.3,43.6,75.0,72.5,43.6,11.7,3.9
934,Claude,Gregory,25,5.4,3.9,0.6,45.6,0.0,33.3,45.6,12.9,0.0
935,John,Greig,9,2.1,0.7,0.0,53.8,-,83.3,53.8,19.9,0.1
936,Kevin,Grevey,672,11.0,2.4,1.9,43.7,33.4,81.7,44.8,12.9,26.5
937,Adrian,Griffin,477,4.0,3.2,1.4,43.8,27.8,76.3,45.2,11.8,16.3
938,Eddie,Griffin,303,7.2,5.8,0.8,37.7,31.5,67.1,43.0,14.3,10.9
939,Paul,Griffin,480,5.1,5.5,2.3,50.5,-,69.2,50.5,11.9,19.6
940,Taylor,Griffin,8,1.3,0.3,0.1,40.0,0.0,50.0,40.0,5.2,0.0
941,Darrell,Griffith,765,16.2,3.3,2.1,46.3,33.2,70.7,48.7,14.6,22.0
942,Derek,Grimm,9,1.6,0.4,0.0,28.6,33.3,100.0,42.9,7.9,0.0
943,Bob,Gross,513,8.9,4.4,2.9,51.2,17.9,79.8,51.2,14.7,30.7
944,Anthony,Grundy,12,4.3,1.4,0.8,50.0,33.3,64.3,56.6,16.6,0.2
945,Ernie,Grunfeld,693,7.4,2.6,2.0,47.7,33.7,77.0,48.1,12.7,25.0
946,Petur,Gudmundsson,150,4.6,3.8,1.0,49.4,50.0,75.4,49.5,10.6,2.1
947,Tom,Gugliotta,763,13.0,7.3,2.8,45.1,28.4,75.7,46.3,15.9,40.2
948,Andres,Guibert,22,2.7,2.8,0.5,32.8,0.0,64.0,32.8,7.9,-0.2
949,Jay,Guidinger,64,1.5,1.5,0.3,40.2,-,60.9,40.2,9.9,0.4
950,Jorge,Gutierrez,47,2.9,1.1,1.5,50.0,17.6,77.8,51.4,10.9,0.8
951,Rudy,Hackett,28,5.5,3.3,1.1,41.1,-,61.9,41.1,10.0,0.4
952,Hamed,Haddadi,151,2.2,2.5,0.3,46.3,0.0,63.2,46.3,13.3,1.6
953,Scott,Haffner,50,4.3,1.1,1.8,40.3,13.0,66.7,41.0,8.4,-0.1
954,Cliff,Hagan,839,17.7,6.6,3.2,45.4,0.0,79.9,45.4,19.8,85.3
955,Glenn,Hagan,4,1.8,1.0,2.0,42.9,-,100.0,42.9,18.1,0.1
956,Malik,Hairston,62,2.4,1.2,0.5,51.2,16.7,51.4,52.0,11.7,0.8
957,Marcus,Haislip,89,3.5,1.5,0.2,43.7,35.0,65.9,44.9,10.8,0.5
958,Jack,Haley,341,3.5,2.7,0.2,42.5,0.0,65.5,42.5,9.7,2.9
959,Shaler,Halimon,254,6.2,3.1,1.7,40.0,11.1,64.4,40.1,11.8,0.5
960,Mike,Hall,2,1.0,1.0,0.5,25.0,-,-,25.0,3.1,0.0
961,Darvin,Ham,417,2.7,2.3,0.5,51.8,25.0,49.4,52.0,9.0,5.6
962,Steve,Hamer,35,2.2,1.7,0.2,52.6,0.0,55.2,52.6,8.9,0.2
963,Dennis,Hamilton,144,4.6,3.1,0.8,51.1,0.0,77.3,51.1,12.2,4.0
964,Jordan,Hamilton,344,12.0,2.6,3.5,40.8,31.2,80.7,44.0,13.3,12.4
