fname,lname,school,debut_x,wt_x,ht(inches),b_city_x,b_state_x,g,pts,trb,ast,fgp,fg3p,ftp,efgp,per,ws
Kennard,Winchester,Averett University,1990,210,77,Chestertown,Maryland,122,3.4,1.1,0.4,41.5,31.7,77.9,43.1,10.2,1.1
Bonzi,Wells,Ball State University,1999,210,77,Muncie,Indiana,591,12.1,4.6,2.1,46,32.7,69.7,47.9,16.1,29.4
Theron,Smith,Ball State University,2003,225,80,Bartow,Florida,53,2.8,3,0.7,33.5,37.5,83.3,36,6,-0.4
Aleksandar,Radojevic,Barton County Community College,1999,250,87,Herceg Novi,Montenegro,15,1.7,2.4,0.5,30.8,-,62.5,30.8,-0.9,-0.4
Vinnie,Johnson,Baylor,1979,200,74,Brooklyn,New York,984,12,3.2,3.3,46.4,25.4,74,46.8,15.2,50.8
Terry,Teagle,Baylor,1982,195,77,Broaddus,Texas,687,11.6,2.6,1.4,46.5,21,79.2,46.7,13.7,13.4
David,Wesley,Baylor,1993,190,,San Antonio,Texas,949,12.5,2.5,4.4,42.4,36.8,78.6,48,14.2,61.3
Brian,Skinner,Baylor,1999,255,81,Temple,Texas,608,4.7,4.7,0.5,49.4,33.3,56.6,49.4,12,15.8
Ekpe,Udoh,Baylor,2010,245,82,Edmond,Oklahoma,384,3.5,2.9,0.7,45.3,0,71.8,45.3,12,10.4
Quincy,Miller,Baylor,2012,210,81,Chicago,Illinois,69,4.3,2.4,0.5,35,29.2,70.6,40.4,8.4,-0.1
Perry,Jones III,Baylor,2012,235,83,Wnsboro,Louisiana,143,3.4,1.8,0.4,42,29.3,66,45.9,8.5,1.7
Quincy,Acy,Baylor,2012,240,79,Tyler,Texas,337,4.9,3.5,0.6,44.4,35,75.9,51.3,11.2,8.7
Cory,Jefferson,Baylor,2014,218,81,Tacoma,Washington,58,3.5,2.8,0.3,44.4,12.5,58.3,45,13.2,0.9
Pierre,Jackson,Baylor,2016,180,70,Las Vegas,Nevada,8,4.4,1.1,2.4,33.3,27.3,85.7,37.2,13,0
Ian,Clark,Belmont,2013,175,75,Memphis,Tennessee,330,5.6,1.3,1.2,43.9,34,80.4,51.3,10.3,4.4
Joe,Reaves,Bethel College,1973,210,77,</span,],19,4.2,2.8,0.4,44.4,-,47.1,44.4,9.5,-0.1
Chris,Andersen,Blinn College,2001,245,82,Long Beach,California,695,5.4,5,0.5,53.2,22.1,65.4,53.5,16.7,39.7
Chris,Childs,Boise State,1994,195,75,Bakersfield,California,541,6.9,2.4,4.9,40.3,34.4,81.6,46.1,11.2,22.9
John,Coker,Boise State,1996,253,,Richland,Washington,25,1.6,1.2,0.1,40.9,-,83.3,40.9,8.9,0.1
Coby,Karl,Boise State,2007,215,77,Great Falls,Montana,24,2.4,1.3,1,34.5,25,75,39.7,9.2,0
James,Webb III,Boise State,2018,202,81,Augusta,Georgia,10,1.6,2.4,0.4,25,21.1,-,33.3,2.2,-0.1
John,Austin,Boston College,1967,170,,Washgton,District of Columbia,45,7.6,1.6,1.4,37.5,0,73.1,37.5,9.3,0.9
Terry,Driscoll,Boston College,1974,215,79,Wthrop,Massachusetts,274,4.1,4.1,0.8,41.9,-,69.4,41.9,10.9,5.1
Bob,Carrington,Boston College,1977,195,78,Brookle,Massachusetts,82,8.2,2.3,1.5,42.8,0,76,42.8,9.4,1.3
John,Bagley,Boston College,1982,185,,Bridgeport,Connecticut,665,8.7,2.6,6,43.7,24.1,77.9,44.8,13,16.6
John,Garris,Boston College,1983,205,80,Bridgeport,Connecticut,33,4,2.3,0.3,51,-,79.4,51,18.5,0.9
Jay,Murphy,Boston College,1984,220,81,Meriden,Connecticut,67,2.4,1.7,0.2,33.2,0,60.7,33.2,6.7,-0.5
Michael,Adams,Boston College,1985,162,70,Hartford,Connecticut,653,14.7,2.9,6.4,41.5,33.2,84.9,47.5,16.6,46.9
Ron,Crevier,Boston College,1985,235,,Montreal,Canada,3,0,0.3,0,0,-,0,0,-31.7,-0.1
Dominic,Pressley,Boston College,1988,170,74,Washgton,District of Columbia,13,1.8,1.2,2,29,0,55.6,29,5.3,-0.2
Dana,Barros,Boston College,1989,163,71,Boston,Massachusetts,850,10.5,1.9,3.3,46,41.1,85.8,53.6,16.4,49.6
Howard,Eisley,Boston College,1994,177,74,Detroit,Michigan,786,6.5,1.7,3.5,40.7,35,82.7,46.3,11.5,19.5
Bill,Curley,Boston College,1994,220,81,Boston,Massachusetts,147,2.7,2,0.4,44.4,22.2,74.3,44.6,8.2,1.6
Troy,Bell,Boston College,2003,180,73,Mneapolis,Minnesota,6,1.8,0.7,0.7,22.2,0,100,22.2,-4.5,-0.2
Craig,Smith,Boston College,2006,250,79,Inglewood,California,403,7.6,3.9,0.8,55.3,3.7,66.1,55.3,16.2,16
Sean,Williams,Boston College,2007,235,82,Houston,Texas,137,4.2,3.4,0.3,51.1,0,62.4,51.1,12.4,3
Gary,Plummer,Boston University,1984,215,81,Highland Park,Michigan,126,4.2,2.4,0.5,43,14.3,71.7,43.2,8.1,0.2
Antonio,Daniels,Bowling Green,1997,195,76,Columbus,Ohio,872,7.6,1.8,3.4,44.4,31.1,79.3,47.9,14.6,47
Keith,McLeod,Bowling Green,2003,188,74,Canton,Ohio,200,5.5,1.3,2.7,35.7,28.2,80,38.6,9.6,1.9
Roger,Phegley,Bradley,1978,205,78,East Peoria,Illinois,345,8.7,2,1.4,47,25.3,83.4,47.5,13.6,8.5
David,Thirdkill,Bradley,1982,195,79,St. Louis,Missouri,179,2.8,1.2,0.5,45.7,9.1,56.5,45.8,8,1.3
Voise,Winters,Bradley,1985,200,80,Chicago,Illinois,4,1.5,0.8,0,23.1,0,-,23.1,-5.6,-0.1
Jim,Les,Bradley,1988,165,71,Niles,Illinois,321,3.8,1.2,2.9,39.7,39.6,81.8,50.1,12.4,8.1
Hersey,Hawkins,Bradley,1988,190,75,Chicago,Illinois,983,14.7,3.6,2.9,46.1,39.4,87,51.8,16.3,90.6
Anthony,Parker,Bradley,1997,215,78,Naperville,Illinois,494,9.1,3.2,2.3,44.4,40.4,79.4,52.3,12.2,24.5
Walt,Lemon Jr.,Bradley,2018,180,75,Chicago,Illinois,11,9.4,2.6,3.2,43.7,50,71.4,45.1,14.7,0
Yuta,Tabuse,Brigham Young University Hawaii,2004,165,69,Yokohama,Japan,4,1.8,1,0.8,16.7,100,100,25,15.6,0
Randy,Smith,Buffalo State,1971,180,75,Bellport,New York,976,16.7,3.7,4.6,47,15.5,78.1,47,16.5,60.1
Sam,Pellom,Buffalo,1979,225,81,Wilmgton,North Carolina,196,4.4,3.5,0.5,46.4,0,72.4,46.4,10.9,4.6
Shelvin,Mack,Butler,2011,203,75,Lexgton,Kentucky,456,6.6,2,3.1,42.3,33,73.1,47.8,12.3,10.3
John,Fairchild,BYU,1967,205,80,Encitas,California,165,6.6,3.2,0.7,40.4,36.8,68.1,41,11.9,1.8
Jim,Eakins,BYU,1968,215,83,Sacramento,California,767,10.8,7.3,1.8,50.4,0,78.8,50.4,16.5,57.5
Craig,Raymond,BYU,1969,235,83,Aberdeen,Washington,241,6.9,6.3,1.4,45.2,0,63.1,45.2,10.9,7.5
Paul,Ruffner,BYU,1971,225,82,Downey,California,133,4.2,3,0.5,47.1,-,68.8,47.1,13.6,1
Bernie,Fryer,BYU,1974,185,75,Bellgham,Washington,120,6.3,1.9,3,44.7,0,78.6,44.7,11.9,2
Danny,Ainge,BYU,1981,175,76,Eugene,Oregon,1042,11.5,2.7,4,46.9,37.8,84.6,51.9,14.7,71.5
Fred,Roberts,BYU,1983,218,82,Provo,Utah,818,7.3,2.8,1.2,50.2,32.5,79.6,50.8,12.6,26.2
Greg,Kite,BYU,1983,250,83,Houston,Texas,680,2.5,3.8,0.5,43.8,16.7,48.6,43.8,6.5,5.6
Devin,Durrant,BYU,1984,200,79,Provo,Utah,63,5,2.1,1.3,41.4,0,68.9,41.4,8.6,-0.2
Michael,Smith,BYU,1989,225,82,Rochester,New York,141,5,1.5,1,47.4,15,83.5,48.1,14,1.4
Andy,Toolson,BYU,1990,210,78,Chicago,Illinois,60,2.7,1.2,0.5,39.7,34.1,75.7,44.9,8,0.6
Shawn,Bradley,BYU,1993,235,90,Landstuhl,Germany,832,8.1,6.3,0.7,45.7,10.3,71.6,45.7,16,40.7
Travis,Hansen,BYU,2003,205,78,Provo,Utah,41,3,1.7,0.5,35.4,30,81.5,38.8,7.2,0.2
Rafael,Araujo,BYU,2004,280,83,Curitiba,Brazil,139,2.8,2.8,0.3,40.5,25,67.9,40.6,6.3,-0.4
Jimmer,Fredette,BYU,2011,195,74,Glens Falls,New York,241,6,1,1.4,40.9,37.2,87.9,48.4,12.5,2.2
Brandon,Davies,BYU,2013,240,82,Philadelphia,Pennsylvania,78,3.7,2.5,0.7,41.1,22.7,64.4,43,8.7,0.3
Kyle,Collinsworth,BYU,2017,210,78,Provo,Utah,32,3.2,3.3,1.8,38.4,23.5,52.5,40.4,10,0.5
Arthur,Williams,Cal Poly Pomona,1974,180,73,Bonham,Texas,548,5.3,3.1,4.4,41,-,72.9,41,13.6,17.7
Mike,Niles,Cal State Fullerton,1980,225,78,Los Angeles,California,44,2.6,1.3,0.3,34.8,50,45.9,35.5,6.7,-0.3
Leon,Wood,Cal State Fullerton,1984,185,75,Columbia,South Carolina,274,6.4,1.2,3.2,39.2,32.6,79.2,44.9,12.6,6.7
Ozell,Jones,Cal State Fullerton,1984,235,83,Long Beach,California,70,3.5,3.4,0.8,58.2,0,39.8,58.2,11.1,1.2
Kevin,Henderson,Cal State Fullerton,1987,195,76,Baltimore,Maryland,22,3,1.1,1.5,39.3,0,60.7,39.3,6.4,-0.2
Richard,Morton,Cal State Fullerton,1988,190,75,San Francisco,California,2,3,0,0.5,75,-,-,75,12.9,0
Cedric,Ceballos,Cal State Fullerton,1990,190,78,Maui,Hawaii,609,14.3,5.3,1.2,50,30.9,75.3,51.8,19.3,40.4
Bruce,Bowen,Cal State Fullerton,1997,185,79,Merced,California,873,6.1,2.8,1.2,40.9,39.3,57.5,49.4,8.2,42.9
Pape,Sow,Cal State Fullerton,2004,250,82,Dakar,Senegal,76,2.9,2.8,0.2,41.6,-,67.8,41.6,9.3,0.8
Josh,Akognon,Cal State Fullerton,2013,185,71,Greenbrae,California,3,1.7,0.3,0.3,50,50,-,62.5,15.3,0
Chuck,Terry,Cal State Long Beach,1973,215,78,Long Beach,California,341,3.8,2.4,0.8,41.9,32.3,77.5,42.2,8.5,6.4
Bob,Gross,Cal State Long Beach,1975,200,78,San Pedro,California,513,8.9,4.4,2.9,51.2,17.9,79.8,51.2,14.7,30.7
Michael,Wiley,Cal State Long Beach,1980,200,81,Long Beach,California,94,7.4,2.6,0.7,56.1,0,70.9,56.1,17,2.9
Craig,Dykema,Cal State Long Beach,1981,190,80,Lakewood,California,32,1.3,0.4,0.5,45.9,50,77.8,48.6,11.1,0.2
Rickey,Williams,Cal State Long Beach,1982,175,73,Buffalo,New York,44,3.3,0.9,0.8,41.5,0,66,41.5,9.6,-0.1
Craig,Hodges,Cal State Long Beach,1982,190,74,Park Forest,Illinois,695,8.5,1.3,2.5,46.1,40,82.8,51.6,11.8,27.2
Morlon,Wiley,Cal State Long Beach,1988,185,76,New Orleans,Louisiana,295,3.7,1.2,2.4,41.2,35.4,70.7,47.5,10.6,2.7
Lucious,Harris,Cal State Long Beach,1993,190,77,Los Angeles,California,800,7.2,2.3,1.4,42.6,34.8,79,46.5,12.8,28.7
Bryon,Russell,Cal State Long Beach,1993,225,79,San Bernardo,California,841,7.9,3.5,1.3,43.1,36.9,75,49.6,12.6,47.4
Juaquin,Hawkins,Cal State Long Beach,2002,220,79,Gardena,California,58,2.3,1.3,0.8,38.5,41.7,50,41.9,7.3,0.4
Casper,Ware,Cal State Long Beach,2014,175,70,Cerritos,California,9,5.3,1,1.1,42.9,33.3,83.3,51.2,13,0.2
Ivan,Johnson,Cal State San Bernardino,2011,230,80,San Antonio,Texas,125,6.5,3.9,0.6,51.7,15.8,66.2,51.9,15.1,4.5
Kebu,Stewart,Cal State-Bakersfield,1997,239,80,Brooklyn,New York,15,2.7,2.1,0.1,46.2,-,64,46.2,14,0.2
Johnny,Jones,"California State University, Los Angeles",1968,205,79,Washgton,District of Columbia,80,5.2,2.9,0.8,35.8,0,59.7,35.8,10.5,-0.6
Michael,Jackson,"California State University, Los Angeles",1972,215,79,Washgton,District of Columbia,264,10.2,5.7,1,50.8,26.7,76.6,50.9,13.3,9
Del,Beshore,California University of Pennslyvania,1978,165,71,Mechanicsburg,Pennsylvania,69,3.5,0.9,2,35.2,38.5,66.7,37.2,6.4,-0.9
Phil,Chenier,California,1971,180,75,Berkeley,California,578,17.2,3.6,3,44.4,40,80.6,44.5,15.3,39.3
John,Coughran,California,1979,225,79,Pittsburg,California,24,2.8,0.8,0.5,35.8,22.2,57.1,37,6,-0.3
Mark,McNamara,California,1982,235,83,San Jose,California,278,3.5,3,0.3,51.2,-,54.8,51.2,10.8,2.8
Leonard,Taylor,California,1989,220,80,Los Angeles,California,10,1.1,1.2,0.1,0,0,68.8,0,3.8,-0.1
Jason,Kidd,California,1994,205,76,San Francisco,California,1391,12.6,6.3,8.7,40,34.9,78.5,46.4,17.9,138.6
Lamond,Murray,California,1994,236,79,Pasadena,California,736,11.3,4.1,1.3,43,36,75.9,46.6,14.1,19.8
Shareef,Abdur-Rahim,California,1996,225,81,Marietta,Georgia,830,18.1,7.5,2.5,47.2,29.7,81,47.9,19,71.2
Ed,Gray,California,1997,210,75,Riverside,California,60,6.2,1.2,0.8,33.9,34.1,81.4,37.8,9.6,0.1
Michael,Stewart,California,1997,230,82,Cucq-Trepied-Stella-Plage,France,286,2.2,3.2,0.3,44.2,-,52.2,44.2,10.2,4.6
Sean,Marks,California,1999,250,82,Auckland,New Zealand,230,2.8,2.2,0.2,44.8,20,66.5,45.2,9.1,2.6
Sean,Lampley,California,2002,227,79,Harvey,Illinois,45,4.5,2.1,0.7,46.3,0,69.1,46.3,13.5,1.1
JaKarr,Sampson,California,2003,235,83,Inglewood,California,72,2,3.4,0.4,49.1,0,53.7,49.1,13,1.4
Francisco,Elson,California,2003,235,,Rotterdam,Netherlands,472,3.7,3.5,0.6,47.8,18.8,70,47.9,10,11.7
Geno,Carlisle,California,2004,180,75,Grand Rapids,Michigan,6,1.3,0.2,0.2,66.7,-,66.7,66.7,18.1,0.1
Leon,Powe,California,2006,240,80,Berkeley,California,239,6.2,3.8,0.3,51.5,0,68.2,51.5,16.8,12
Jorge,Gutierrez,California,2014,191,75,Chihuahua,Mexico,47,2.9,1.1,1.5,50,17.6,77.8,51.4,10.9,0.8
Patrick,Christopher,California,2014,209,77,Compton,California,4,1.5,1.5,0,25,0,-,25,-2.6,-0.1
Jabari,Bird,California,2017,198,78,Walnut Creek,California,13,3,1.5,0.6,57.7,42.9,46.2,63.5,12.1,0.2
Ivan,Rabb,California,2017,220,82,Sacramento,California,85,5.7,4.3,1,55.5,20,74.3,55.9,16.3,3.2
George,Lehmann,Campbell,1969,180,,Riverside,New Jersey,376,11.9,1.6,4.5,41.8,36.5,84.1,47.1,12.8,18.6
Antonio,Anderson,Canisius,1967,184,74,Buffalo,New York,194,10.7,2.7,1.7,41,15.9,75.5,41.3,10.9,3.5
Mike,Smrek,Canisius,1985,250,,Welland,Canada,194,2.9,2.2,0.3,43.1,0,61.7,43.1,7.4,0.7
Robert,Parish,Centenary (LA),1976,230,85,Shreveport,Louisiana,1611,14.5,9.1,1.4,53.7,0,72.1,53.7,19.2,147
Larry,Robinson,Centenary (LA),1990,180,75,Bossier City,Louisiana,89,4.5,1.9,0.9,38.4,37.3,66.7,44.7,10.3,0.9
Keith,Closs,Central Connecticut State University,1997,212,87,Hartford,Connecticut,130,3.9,2.9,0.3,47.1,0,60.6,47.1,14.2,1.9
Corsley,Edwards,Central Connecticut State University,2004,275,81,Baltimore,Maryland,10,2.7,2.5,0.3,32.3,-,58.3,32.3,8.6,0.1
Jim,McElroy,Central Michigan University,1975,190,75,Cotton Plant,Arkansas,418,9.9,2,3.5,46.8,20.6,76.4,46.9,12.9,14
Dan,Roundfield,Central Michigan University,1975,205,80,Detroit,Michigan,813,14.3,9.2,2,48.2,11.1,73.5,48.3,17.9,66.5
Ben,Poquette,Central Michigan University,1977,235,81,Ann Arbor,Michigan,718,6.8,5.2,1.2,48.3,22,77.9,48.4,12.6,30.4
Dan,Majerle,Central Michigan University,1988,215,78,Traverse City,Michigan,955,11.4,4.5,2.9,43.1,35.8,74.1,50.5,13.8,78.5
Nate,Huffman,Central Michigan University,2002,245,85,Battle Creek,Michigan,7,3.3,3.3,0.7,36,-,62.5,36,11.8,0.1
Chris,Kaman,Central Michigan University,2003,265,,Wyomg,Michigan,735,11.2,7.6,1.3,48.9,4.2,74.3,48.9,14.9,24.6
Ken,Wilburn,Central State University,1968,195,78,River Rouge,Michigan,54,3.9,3.9,0.5,39.1,-,50.6,39.1,13.5,0.1
Priest,Lauderdale,Central State University,1996,325,88,Chicago,Illinois,74,3.4,1.9,0.4,47.2,0,55.4,47.2,11.3,-0.8
Russ,Schoene,Chattanooga,1982,210,82,Trenton,Illinois,290,5.1,2.5,0.6,43.5,33.5,75.1,45.7,11.1,4.5
Willie,White,Chattanooga,1984,195,75,Memphis,Tennessee,82,3.7,1,1,43.2,31.3,74.1,44.9,13.2,0.3
Gerald,Wilkins,Chattanooga,1985,185,78,Atlanta,Georgia,900,13,2.9,3,45,31.6,74.5,47,13,33.9
Johnny,Taylor,Chattanooga,1997,220,81,Chattanooga,Tennessee,54,4.7,2.2,0.5,40.2,39.4,71.8,45.8,8.7,0.1
Lamont,Strothers,Christopher Newport University,1992,190,76,Nansemond County,Virginia,13,4.6,1.2,1.1,32.9,13.3,71.4,34.2,5.8,-0.5
Ron,Bonham,Cincinnati,1967,192,77,Muncie,Indiana,118,6.1,1.4,0.4,38.8,0,82.4,38.8,16.7,2.7
Tom,Thacker,Cincinnati,1969,170,74,Covgton,Kentucky,314,3.2,2.6,1.5,36,22.7,50.8,36.5,7.4,-0.3
Jim,Ard,Cincinnati,1970,215,80,Harvey,Illinois,431,4.4,4.3,0.6,40.2,23.5,66.2,40.3,10.6,4
