fname,lname,school,debut_x,wt_x,ht(inches),b_city_x,b_state_x,g,pts,trb,ast,fgp,fg3p,ftp,efgp,per,ws
Steven,Hill,Arkansas,2008,248,,Chanute,Kansas,1,2,3,0,100,-,-,100,88.3,0
Dontell,Jefferson,Arkansas,2009,195,77,Lithonia,Georgia,6,4.8,2,1.5,50,50,66.7,52.3,12.7,0.2
Sonny,Weems,Arkansas,2009,205,78,West Memphis,Arkansas,183,6.5,2.2,1.4,46.5,28.3,70.2,48,10.1,0
Courtney,Fortson,Arkansas,2012,185,71,San Antonio,Texas,10,3.5,1.5,1,34.4,23.1,66.7,39.1,9.9,0
Coty,Clarke,Arkansas,2016,232,79,Antioch,Tennessee,3,2,0.3,0,50,100,-,75,23.9,0
Orlando,Graham,Auburn University at Montgomery,1989,220,80,Montgomery,Alabama,7,1.1,1.6,0,30,-,50,30,6.7,0
Etdrick,Bohannon,Auburn University at Montgomery,1997,220,81,San Bernardo,California,26,1.4,1.7,0.2,42.9,-,67.9,42.9,10.2,0.1
John,Mengelt,Auburn,1971,195,74,Lacrosse,Wisconsin,636,9.8,1.9,2.1,47.9,0,80.9,47.9,14.6,27.9
Stan,Pietkiewicz,Auburn,1978,200,77,Huntsville,Alabama,96,3.9,1,1.8,45.8,33.3,80.6,50.2,13.1,1.5
Mike,Mitchell,Auburn,1978,215,79,Atlanta,Georgia,759,19.8,5.6,1.3,49.3,21.6,77.9,49.4,16.7,50.2
Myles,Patrick,Auburn,1980,220,80,Macon,Georgia,3,1.7,0.7,0.3,40,-,50,40,6.9,0
Bobby,Cattage,Auburn,1981,250,81,Huntsville,Alabama,78,3.1,1.4,0.1,40.4,14.3,76.5,40.6,10.2,0.3
Darrell,Lockhart,Auburn,1983,245,81,Thomaston,Georgia,2,2,1.5,0,100,-,-,100,1.6,0
Charles,Barkley,Auburn,1984,252,78,Leeds,Alabama,1073,22.1,11.7,3.9,54.1,26.6,73.5,55.8,24.6,177.2
Chuck,Person,Auburn,1986,220,80,Brantley,Alabama,943,14.7,5.1,2.8,45.8,36.2,72.3,50.8,13.7,38.9
Chris,Morris,Auburn,1988,210,80,Atlanta,Georgia,747,11,4.7,1.6,44.1,30.6,73.9,47.5,15.1,37.4
Wesley,Person,Auburn,1994,195,78,Crenshaw,Alabama,733,11.2,3.3,1.7,45.7,41.8,77.8,54.1,14.1,44
Aaron,Swinson,Auburn,1994,230,77,Brunswick,Georgia,9,2.7,0.9,0.3,55.6,-,80,55.6,11.7,0
Chris,Porter,Auburn,2000,218,79,Abbeville,Alabama,51,8.6,3.7,1.2,38.9,0,66.7,38.9,11.1,0.2
Jamison,Brewer,Auburn,2001,184,76,East Pot,Georgia,54,1.6,0.9,1,37.2,25,39.3,41.5,7,0
Adam,Harrington,Auburn,2002,200,77,Bernardston,Massachusetts,19,1.6,0.4,0.6,29.7,35.7,75,36.5,7.4,0
Pat,Burke,Auburn,2002,250,83,Dubl,Ireland,127,3.7,2.1,0.3,40.8,25,66.3,41.7,8.9,-0.2
Marquis,Daniels,Auburn,2003,200,78,Jasper,Florida,548,7.9,2.8,1.8,45.1,23.5,72.1,46.4,12.9,16.5
Daniel,Anderson,Augsburg College,1967,230,82,Mneapolis,Minnesota,140,12.2,9.4,1.1,48.1,-,72.7,48.1,17.5,10.9
Devean,George,Augsburg College,1999,220,80,Mneapolis,Minnesota,630,5.6,3.1,0.9,39.2,34.3,72.1,45.6,10.6,18.2
Garret,Siler,Augusta State University,2010,305,83,Augusta,Georgia,21,2.1,1.3,0.1,54.8,-,50,54.8,13.5,0.1
Arvid,Kramer,Augustana College (SD),1980,220,81,Fulda,Minnesota,8,2,1.5,0.4,31.8,-,100,31.8,6.6,-0.1
Brett,Szabo,Augustana College (SD),1996,230,83,Postville,Iowa,70,2.2,2.4,0.2,44.6,0,73.8,44.6,8.8,0.4
Mickey,Johnson,Aurora University,1974,190,82,Chicago,Illinois,904,14.1,7.2,3,44.9,16.5,80,45,16.9,58.6
Howard,Wright,Austin Peay State University,1970,185,75,Louisville,Kentucky,53,4.5,1.5,1.2,38.4,21.4,80,40.2,6.5,0
Barry,Sumpter,Austin Peay State University,1989,215,83,Brooklyn,Illinois,1,0,0,0,0,-,-,0,-30.2,0
Bubba,Wells,Austin Peay State University,1997,230,77,Russellville,Kentucky,39,3.3,1.7,0.9,41.4,16.7,72.1,41.8,11.1,0.1
Trenton,Hassell,Austin Peay State University,2001,200,77,Clarksville,Tennessee,644,5.8,2.8,1.8,44.5,31.8,76.5,45.9,8.4,13.8
