fname,lname,school,debut_x,wt_x,ht(inches),b_city_x,b_state_x,g,pts,trb,ast,fgp,fg3p,ftp,efgp,per,ws,,,
Raef,LaFrentz,Kansas,1999,240lb,83,Hampton,Iowa,563,10.1,6.1,1.1,46.6,36.3,71.1,51.6,16.1,39.4,,,
Bill,Laimbeer,Notre Dame,1980,245lb,83,Boston,Massachusetts,1068,12.9,9.7,2,49.8,32.6,83.7,50.7,16.1,105.6,,,
Andrew,Lang,Arkansas,1988,245lb,83,Pe Bluff,Arkansas,737,6,4.8,0.6,47,25,74.4,47.1,11.7,28.6,,,
Antonio,Lang,Arkansas,1988,245lb,83,Pe Bluff,Arkansas,737,6,4.8,0.6,47,25,74.4,47.1,11.7,28.6,,,
Dan,Langhi,Vanderbilt,2000,220lb,83,Chicago,Illinois,133,3,1.5,0.3,39.1,28.9,61.3,40.3,8.8,0.3,,,
Bob,Lanier,St. Bonaventure,1970,250lb,83,Buffalo,New York,959,20.1,10.1,3.1,51.4,15.4,76.7,51.4,21.7,117.1,,,
Jason,Lawson,Villanova,1997,240lb,83,Philadelphia,Pennsylvania,17,1.5,1.6,0.3,60,-,80,60,21.5,0.5,,,
Eric,Leckner,Wyoming,1988,265lb,83,Inglewood,California,449,4.1,3.2,0.5,50.8,0,66.9,50.8,9.8,6.2,,,
Horacio,Llamas,Grand Canyon University,1997,285lb,83,El Rosario,Mexico,28,2.1,1.3,0.2,46.9,33.3,61.1,48,10,0,,,
Brad,Lohaus,Iowa,1987,230lb,83,New Ulm,Minnesota,656,5.9,2.8,1.1,44,36.1,73.3,49.6,12.3,15.2,,,
Jamaal,Magloire,Kentucky,2000,259lb,83,Toronto,Canada,680,7.2,6.5,0.6,48,0,63.9,48,13.5,27.7,,,
Richard,Manning,Washington,1996,253lb,83,Tacoma,Washington,55,3.3,1.7,0.2,41.5,40,64.3,42.1,8.1,-0.3,,,
Amal,McCaskill,Marquette,1996,235lb,83,Maywood,Illinois,114,1.8,1.9,0.3,37.7,0,60.9,37.7,7.7,0.5,,,
Tim,McCormick,Michigan,1984,240lb,83,Detroit,Michigan,483,8.3,4.9,1,53.5,6.3,70.3,53.5,12.8,21.5,,,
Chris,McCullough,Syracuse,2016,200lb,83,Bronx,New York,59,3.3,1.9,0.3,42.6,30.6,54.8,46.7,13.2,0.6,,,
Jim,McDaniels,Western Kentucky,1971,228lb,83,Scottsville,Kentucky,271,10,6.5,1.1,46.6,-,72,46.6,16.8,9.1,,,
Tom,McMillen,Maryland,1975,215lb,83,Elmira,New York,729,8.1,4,1.1,48.3,12,80.6,48.3,12.2,27.2,,,
Mark,McNamara,California,1982,235lb,83,San Jose,California,278,3.5,3,0.3,51.2,-,54.8,51.2,10.8,2.8,,,
Cozell,McQueen,NC State,1987,235lb,83,Paris,France,3,2,2.7,0,100,-,-,100,58.3,0.1,,,
Brad,Miller,Purdue,1999,244lb,83,Fort Wayne,Indiana,868,11.2,7.1,2.8,48,33,80.4,49.4,17.5,76.5,,,
Eric,Mobley,Pitt,1994,235lb,83,Bronx,New York,113,3.9,3.1,0.5,54.1,75,47.5,54.5,10.6,1.1,,,
Greg,Monroe,Georgetown,2010,265lb,83,New Orleans,Louisiana,632,13.2,8.3,2.1,51.4,5.9,70.4,51.4,20.1,49.7,,,
Mikki,Moore,Nebraska,1999,225lb,83,Orangeburg,South Carolina,564,5.8,3.9,0.7,55.1,15.4,74.3,55.1,12.5,22.5,,,
Hanno,Mottola,Utah,2000,247lb,83,Helski,Finland,155,4.6,2.9,0.5,44.2,6.3,78.3,44.3,8.1,0.9,,,
Arnett,Moultrie,Mississippi State,2012,249lb,83,Queens,New York,59,3.6,3.1,0.2,54.7,-,66.7,54.7,14.1,1.7,,,
Troy,Murphy,Notre Dame,2001,245lb,83,Morristown,New Jersey,729,10.8,7.8,1.5,44.5,38.8,78.5,49.3,15.4,50.3,,,
Swen,Nater,UCLA,1973,240lb,83,Den Helder,Netherlands,722,12.4,11.6,1.7,53.5,10,74.8,53.5,17.6,58.5,,,
