fname,lname,school,debut_x,wt_x,ht(inches),b_city_x,b_state_x,g,pts,trb,ast,fgp,fg3p,ftp,efgp,per,ws,,,
Wesley,Matthews,Wisconsin,1980,170lb,73,Sarasota,Florida,465,7.9,1.3,4.2,47.8,22.5,78.8,48.4,13,11,,,
Lee,Mayberry,Arkansas,1992,172lb,73,Tulsa,Oklahoma,496,5.1,1.3,3.6,41.5,37.7,65.9,49.8,10.1,7.9,,,
Ted,McClain,Tennessee State,1971,180lb,73,Nashville,Tennessee,555,8.4,2.9,3.4,44.9,21.8,76.7,45.3,12.5,21.2,,,
Bill,Melchionni,Villanova,1969,165lb,73,Philadelphia,Pennsylvania,646,10.6,2,5,45.9,23.6,80.9,46.2,13.8,28.8,,,
Aaron,Miles,Kansas,2005,175lb,73,Portland,Oregon,19,0.8,0.7,1.3,33.3,-,100,33.3,6,0,,,
Johnny,Moore,Texas,1980,175lb,73,Altoona,Pennsylvania,520,9.4,3,7.4,46,25.1,71.2,47.1,16.7,30.1,,,
Lowes,Moore,West Virginia,1980,170lb,73,Plymouth,South Carolina,112,6.7,2,2.8,44.2,20,75,45,10.7,1.5,,,
Eric,Murdock,Providence,1991,190lb,73,Somerville,New Jersey,508,10.1,2.5,4.9,43.8,34.3,78.6,47.3,17.4,25.6,,,
Carl,Nicks,Indiana State University,1980,175lb,73,Chicago,Illinois,156,6.8,1.9,1.6,46.2,0,57,46.2,10.5,-0.4,,,
Moochie,Norris,University of West Florida,1996,175lb,73,Washgton,District of Columbia,445,5.1,2,2.8,40.1,28.6,74,43,13,10,,,
Marcus,Paige,UNC,2017,175lb,73,Cedar Rapids,Iowa,5,2.4,0.8,0.6,28.6,25,100,35.7,9.1,0,,,
Jannero,Pargo,Arkansas,2002,175lb,73,Chicago,Illinois,499,6.4,1.4,2,39.1,35.6,86.4,45.5,11.8,4.9,,,
Brent,Price,Oklahoma,1992,165lb,73,Shawnee,Oklahoma,418,5.9,1.6,3,42.6,38.7,82.4,52.1,13.3,12,,,
Jacob,Pullen,Kansas State,2017,200lb,73,Maywood,Illinois,3,0.7,0,0,50,0,-,50,-2.3,0,,,
Kelvin,Ransey,Ohio State,1980,170lb,73,Toledo,Ohio,474,11.4,1.9,5.2,45.4,13.2,78.2,45.6,14.8,17.9,,,
Shawn,Respert,Michigan State,1995,195lb,73,Detroit,Michigan,172,4.9,1.3,1,41.4,34,81.6,47.8,11.6,2.1,,,
Pooh,Richardson,UCLA,1989,180lb,73,Philadelphia,Pennsylvania,639,11.1,2.8,6.5,44.4,32.9,65.2,47,14.9,26.7,,,
Brian,Roberts,Dayton,2012,173lb,73,Toledo,Ohio,314,6.6,1.3,2.3,41.1,35.6,90.8,47.1,13,7.4,,,
Flynn,Robinson,Wyoming,1973,185lb,73,Elg,Illinois,543,14,2.5,3,45.6,26.7,84.6,45.7,17.5,32.6,,,
Lorenzo,Romar,Washington,1980,175lb,73,South Gate,California,291,5.9,1.3,3.5,46.4,21.1,74.9,47,13,8,,,
Trevor,Ruffin,Hawaii,1994,185lb,73,Buffalo,New York,110,9.2,1.4,2.9,41.1,37.1,79.5,49.5,14.9,1.3,,,
Jerry,Sichting,Purdue,1980,168lb,73,Martsville,Indiana,598,6.9,1.4,3.3,50.7,27.1,85.7,51.3,11.7,21.2,,,
James,Silas,Stephen F. Austin,1972,180lb,73,Tallulah,Louisiana,685,16.1,3,3.8,49.5,0,85.5,49.5,17,60.3,,,
Scott,Skiles,Michigan State,1986,180lb,73,LaPorte,Indiana,600,11.1,2.5,6.5,43.5,37.9,88.9,48.5,14.4,30.4,,,
Keith,Smart,Indiana,1988,175lb,73,Baton Rouge,Louisiana,2,1,0.5,1,0,0,100,0,0,0,,,
Adrian,Smith,Kentucky,1971,180lb,73,Farmgton,Kentucky,772,11.3,2.1,2.3,43,18.2,83.8,43,12.2,33.2,,,
Will,Solomon,Clemson,2001,185lb,73,Hartford,Connecticut,115,5.1,1.1,2,37.8,29.8,69.2,44.3,10.5,0,,,
John,Stockton,Gonzaga,1984,170lb,73,Spokane,Washington,1504,13.1,2.7,10.5,51.5,38.4,82.6,54.6,21.8,207.7,,,
Salim,Stoudamire,Arizona,2005,179lb,73,Portland,Oregon,157,8,1.4,1,40.7,36.6,88.2,48.3,11.8,2.2,,,
Justus,Thigpen,Weber State,1969,160lb,73,</span,],22,2.7,0.8,0.5,36.7,-,33.3,36.7,5.1,-0.3,,,
Isaiah,Thomas,Indiana,1981,180lb,73,Chicago,Illinois,979,19.2,3.6,9.3,45.2,29,75.9,46.5,18.1,80.7,,,
Isiah,Thomas,Indiana,1981,180lb,73,Chicago,Illinois,979,19.2,3.6,9.3,45.2,29,75.9,46.5,18.1,80.7,,,
Jason,Thompson,South Carolina,1968,185lb,73,New York,New York,2,1,0.5,1,33.3,0,-,33.3,5,0,,,
Dave,Twardzik,Old Dominion,1972,175lb,73,Hershey,Pennsylvania,536,9.3,2.4,3.4,52.7,24.5,82.1,52.9,13.8,33.4,,,
Darnell,Valentine,Kansas,1981,183lb,73,Chicago,Illinois,620,8.7,2.1,5,43.7,26.1,78.7,44.2,14,22.1,,,
Jacque,Vaughn,Kansas,1997,190lb,73,Los Angeles,California,776,4.5,1.3,2.5,42.9,35.2,77.9,44.5,10.1,15.4,,,
Bob,Verga,Duke,1967,190lb,73,Neptune,New Jersey,342,20.2,3.9,2.9,43.8,29.6,74.9,44.9,17.5,19.7,,,
Earl,Watson,UCLA,2001,195lb,73,Kansas City,Kansas,878,6.4,2.3,4.4,41.1,32.4,70.3,46,12.1,19.2,,,
Clinton,Wheeler,William Paterson University,1987,185lb,73,Neptune,New Jersey,87,2.9,0.8,1.8,48.9,0,74.1,48.9,12.3,1.1,,,
Matt,Williams Jr.,Alabama,2003,198lb,73,Jackson,Mississippi,818,13.2,2.8,4.9,43.4,37.8,87.1,49.3,15,40,,,
Arthur,Williams,Cal Poly Pomona,1974,180lb,73,Bonham,Texas,548,5.3,3.1,4.4,41,-,72.9,41,13.6,17.7,,,
Marcus,Williams,Alabama,2003,198lb,73,Jackson,Mississippi,818,13.2,2.8,4.9,43.4,37.8,87.1,49.3,15,40,,,
Marcus,Williams,Alabama,2003,198lb,73,Jackson,Mississippi,818,13.2,2.8,4.9,43.4,37.8,87.1,49.3,15,40,,,
Marvin,Williams,Alabama,2003,198lb,73,Jackson,Mississippi,818,13.2,2.8,4.9,43.4,37.8,87.1,49.3,15,40,,,
Rickey,Williams,Cal State Long Beach,1982,175lb,73,Buffalo,New York,44,3.3,0.9,0.8,41.5,0,66,41.5,9.6,-0.1,,,
Shammond,Williams,UNC,1999,201lb,73,Bronx,New York,325,5.8,1.6,2.4,40.1,36.6,79.8,47.7,13.3,8.8,,,
Shawne,Williams,UNC,1999,201lb,73,Bronx,New York,325,5.8,1.6,2.4,40.1,36.6,79.8,47.7,13.3,8.8,,,
Shelden,Williams,UNC,1999,201lb,73,Bronx,New York,325,5.8,1.6,2.4,40.1,36.6,79.8,47.7,13.3,8.8,,,
Marv,Winkler,LA-Lafayette,1971,164lb,73,</span,],23,2.1,0.9,0.6,28.1,50,62.5,29.7,2.1,-0.4,,,
Larry,Wright,Grambling State University,1976,160lb,73,Monroe,Louisiana,343,8.2,1.6,3.4,46.5,26.1,77.7,46.6,13.1,10.6,,,
Josh,Akognon,Cal State Fullerton,2013,185lb,71,Greenbrae,California,3,1.7,0.3,0.3,50,50,-,62.5,15.3,0,,,
Michael,Anderson,Drexel,1989,184lb,71,Philadelphia,Pennsylvania,36,5.7,2.5,4.3,41.7,14.3,69.5,42,10.5,0.2,,,
Mitchell,Anderson,Drexel,1989,184lb,71,Philadelphia,Pennsylvania,36,5.7,2.5,4.3,41.7,14.3,69.5,42,10.5,0.2,,,
Chucky,Atkins,South Florida,1999,160lb,71,Orlando,Florida,696,9.9,1.7,3.4,41.2,36.4,77.2,48.9,13.1,27.9,,,
Dana,Barros,Boston College,1989,163lb,71,Boston,Massachusetts,850,10.5,1.9,3.3,46,41.1,85.8,53.6,16.4,49.6,,,
Del,Beshore,California University of Pennslyvania,1978,165lb,71,Mechanicsburg,Pennsylvania,69,3.5,0.9,2,35.2,38.5,66.7,37.2,6.4,-0.9,,,
Travis,Best,Georgia Tech,1995,182lb,71,Sprgfield,Massachusetts,708,7.6,1.8,3.5,43.1,34.5,83.5,46,13.8,30.9,,,
Terrell,Brandon,Oregon,1991,180lb,71,Portland,Oregon,724,13.8,3,6.1,44.8,35.5,87.3,47.1,19.7,65.9,,,
Scott,Brooks,"University of California, Irvine",1988,165lb,71,French Camp,California,680,4.9,1,2.4,45,37.2,84.9,50.3,14.5,23.5,,,
Speedy,Claxton,Hofstra,2001,166lb,71,Queens,New York,334,9.3,2.5,4.3,40.9,19.3,76.2,41.7,14.5,14.2,,,
Sherron,Collins,Kansas,2010,205lb,71,Chicago,Illinois,20,0.9,0.3,0.4,28,20,100,32,3.6,-0.2,,,
Justin,Dentmon,Washington,2012,185lb,71,Carbondale,Illinois,8,3.3,1,1.3,33.3,14.3,66.7,36.7,3.8,-0.1,,,
Billy,Donovan,Providence,1987,171lb,71,Rockville Centre,New York,44,2.4,0.6,2,40.4,0,81,40.4,8.7,-0.1,,,
Courtney,Fortson,Arkansas,2012,185lb,71,San Antonio,Texas,10,3.5,1.5,1,34.4,23.1,66.7,39.1,9.9,0,,,
Steve,Henson,Kansas State,1990,177lb,71,Junction City,Kansas,238,3.1,0.7,2,40.3,43.2,86.9,48.6,11.5,3.8,,,
Adonis,Jordan,Kansas,1993,170lb,71,Brooklyn,New York,10,2.1,0.6,2.2,29.6,25,50,35.2,8,0,,,
Stan,Kimbrough,Xavier,1989,153lb,71,Tuscaloosa,Alabama,13,1.6,0.5,0.5,40.9,50,100,43.2,11.2,0.1,,,
Shane,Larkin,Miami (FL),2013,175lb,71,Ccnati,Ohio,256,5.5,1.9,2.9,42.2,33.6,77.7,46.8,11.4,4.4,,,
Ty,Lawson,UNC,2009,195lb,71,Clton,Maryland,551,12.7,2.7,6,46,35.9,77,50.4,17.2,42.1,,,
Jim,Les,Bradley,1988,165lb,71,Niles,Illinois,321,3.8,1.2,2.9,39.7,39.6,81.8,50.1,12.4,8.1,,,
Darrick,Martin,UCLA,1995,170lb,71,Denver,Colorado,514,6.9,1.1,2.9,38.2,34,84.3,43.8,12.5,9.6,,,
Howard,Nathan,Louisiana-Monroe,1995,175lb,71,Peoria,Illinois,5,2.6,0,0.4,55.6,0,75,55.6,11.3,-0.1,,,
Dean,Oliver,Iowa,2002,180lb,71,Qucy,Illinois,35,1.8,0.7,1.3,32,15.8,76.5,34,8.1,-0.2,,,
Phil,Pressey,Missouri,2013,175lb,71,Dallas,Texas,148,3.2,1.5,2.9,34.1,25.4,63,38.8,9.9,0.8,,,
Robert,Smith,UNLV,1977,165lb,71,Los Angeles,California,229,5,1.3,1.8,43.5,23.8,87.7,44.1,11,5.6,,,
David,Stockton,Gonzaga,2015,165lb,71,Spokane,Washington,6,3,0.3,1.5,44.4,60,70,61.1,15.7,0.1,,,
Andre,Turner,Memphis,1986,160lb,71,Memphis,Tennessee,170,4.5,1.5,3.1,42.2,23.7,76.4,43.2,12,1.8,,,
Mark,Wade,UNLV,1988,160lb,71,Torrance,California,12,0.7,1.3,3,15,0,50,15,4.9,-0.3,,,
Bobby,Washington,Eastern Kentucky University,1969,175lb,71,</span,],118,5.9,2,3.5,39.7,-,77.6,39.7,14.4,2.1,,,
Michael,Adams,Boston College,1985,162lb,70,Hartford,Connecticut,653,14.7,2.9,6.4,41.5,33.2,84.9,47.5,16.6,46.9,,,
Andre,Barrett,Seton Hall,2004,172lb,70,Bronx,New York,67,3.3,1.1,2,36.9,24.6,72.7,40.5,9.6,0.4,,,
Tyus,Edney,UCLA,1995,152lb,70,Gardena,California,226,7.6,1.7,4,40.5,32.2,80.6,42.8,13.6,6.8,,,
Chris,Garner,Memphis,1997,156lb,70,Memphis,Tennessee,46,1.6,0.8,1.4,28,19,61.5,29.9,4.1,-0.8,,,
Jordan,Hamilton,University of North Texas,1970,160lb,70,Lexgton,Kentucky,344,12,2.6,3.5,40.8,31.2,80.7,44,13.3,12.4,,,
Eddie,Hughes,Colorado State,1988,165lb,70,Greenville,Mississippi,97,3.1,1,1.6,41.6,36.4,69.2,46.6,8.9,1.5,,,
Mike,Iuzzolino,Saint Francis University,1991,175lb,70,Altoona,Pennsylvania,122,9,2,4.3,45.7,40.4,79.8,52.5,12.9,3.7,,,
Pierre,Jackson,Baylor,2016,180lb,70,Las Vegas,Nevada,8,4.4,1.1,2.4,33.3,27.3,85.7,37.2,13,0,,,
Avery,Johnson,Southern University and A&amp;M College,1988,175lb,70,New Orleans,Louisiana,1054,8.4,1.7,5.5,47.9,14.5,70.6,48.1,14.5,56.5,,,
Cameron,Johnson,University of Alabama at Birmingham,2011,180lb,70,New Orleans,Louisiana,15,1.8,0.6,1.5,31.4,26.7,33.3,37.1,8.9,0,,,
Carldell,Johnson,University of Alabama at Birmingham,2011,180lb,70,New Orleans,Louisiana,15,1.8,0.6,1.5,31.4,26.7,33.3,37.1,8.9,0,,,
Brandin,Knight,Stanford,1997,173lb,70,Livgston,New Jersey,729,7.3,2.4,6.1,41.2,13.4,78.9,41.4,14.9,32.6,,,
Brandon,Knight,Stanford,1997,173lb,70,Livgston,New Jersey,729,7.3,2.4,6.1,41.2,13.4,78.9,41.4,14.9,32.6,,,
Brevin,Knight,Stanford,1997,173lb,70,Livgston,New Jersey,729,7.3,2.4,6.1,41.2,13.4,78.9,41.4,14.9,32.6,,,
Damon,Stoudamire,Arizona,1995,171lb,70,Portland,Oregon,878,13.4,3.5,6.1,40.6,35.7,83.3,46.4,15.4,55.4,,,
Tyler,Ulis,Kentucky,2016,160lb,70,Southfield,Michigan,133,7.5,1.7,4,40.3,28,80.8,43.5,11.3,0.5,,,
Casper,Ware,Cal State Long Beach,2014,175lb,70,Cerritos,California,9,5.3,1,1.1,42.9,33.3,83.3,51.2,13,0.2,,,
Tyson,Wheeler,Rhode Island,1999,165lb,70,New Brita,Connecticut,1,4,0,2,100,100,50,150,76.1,0.1,,,
Donald,Whiteside,Northern Illinois,1996,160lb,70,Chicago,Illinois,30,2,0.4,1.2,33.3,32.4,64.7,43.9,7.2,0.1,,,
Mike,Wilks,Rice University,2002,185lb,70,Milwaukee,Wisconsin,233,2.5,1,1.2,40.2,32.1,74.1,43.3,10,2.5,,,
Randy,Woods,La Salle,1992,185lb,70,Philadelphia,Pennsylvania,151,2.4,0.6,1.7,34,30.5,68.3,42.5,11.6,0.6,,,
Kay,Felder,Oakland,2016,176lb,69,Detroit,Michigan,58,3.8,1,1.3,36.4,26.8,75.4,38.8,9.3,-0.4,,,
Calvin,Murphy,Niagara University,1970,165lb,69,Norwalk,Connecticut,1002,17.9,2.1,4.4,48.2,13.9,89.2,48.3,18,84.1,,,
Nate,Robinson,Washington,2005,180lb,69,Seattle,Washington,618,11,2.3,3,42.3,36,79.6,49.3,15.6,27.8,,,
Yuta,Tabuse,Brigham Young University Hawaii,2004,165lb,69,Yokohama,Japan,4,1.8,1,0.8,16.7,100,100,25,15.6,0,,,
Charlie,Criss,New Mexico State,1977,165lb,68,Valhalla,New York,418,8.5,1.4,3.2,43.2,17.9,83.1,43.5,12.8,13.7,,,
Willie,Somerset,Duquesne,1967,170lb,68,Sharon,Pennsylvania,143,21.9,4.6,3.6,42.5,28,80.8,43.9,18,14.8,,,
Greg,Grant,Trenton State University,1989,140lb,67,Trenton,New Jersey,274,2.8,0.9,2.7,38.3,28.1,71,40.8,9.9,1.6,,,
Keith,Jennings,East Tennessee State University,1992,160lb,67,Culpepper,Virginia,164,6.6,1.5,3.7,43.6,37.4,85.2,52,15.5,7.7,,,
Monte,Towe,NC State,1975,150lb,67,Marion,Indiana,115,2.8,0.8,1.9,40.4,21.4,78.3,41.8,9.6,0.2,,,
Spud,Webb,NC State,1985,133lb,66,Dallas,Texas,814,9.9,2.1,5.3,45.2,31.4,84.8,47.7,15.1,40.2,,,
Earl,Boykins,Eastern Michigan,1999,135lb,65,Cleveland,Ohio,652,8.9,1.3,3.2,41.7,34.8,87.6,45.5,15.7,26,,,
Muggsy,Bogues,Wake Forest,1987,136lb,64,Baltimore,Maryland,889,7.7,2.6,7.6,45.8,27.8,82.7,46.7,15,54,,,
Milos,Babic,Tennessee Technological University,1990,240lb,84,Kraljevo,Serbia,21,1.8,1,0.5,37.5,-,65,37.5,10.9,-0.1,,,
Carl,Bailey,Tuskegee University,1982,210lb,,Birmgham,Alabama,1,2,0,0,100,-,-,100,-6.8,0,,,
Earl,Barron,Memphis,2005,250lb,,Clarksdale,Mississippi,140,4.6,3.5,0.5,37.1,16.7,70.2,37.3,8.6,-0.6,,,
William,Bedford,Memphis,1986,225lb,,Memphis,Tennessee,238,4.1,2.4,0.5,41.6,31.8,60.5,41.9,9.7,0.9,,,
Benoit,Benjamin,Creighton,1985,250lb,,Monroe,Louisiana,807,11.4,7.5,1.3,49.7,4.8,72.1,49.7,14.8,32.7,,,
Mark,Blount,Pitt,2000,230lb,,Dobbs Ferry,New York,605,8.2,4.6,0.8,50.4,35.9,72.3,50.8,12.5,18.8,,,
Andrew,Bogut,Utah,2005,260lb,,Melbourne,Australia,706,9.6,8.7,2.2,53.5,12,55.7,53.5,16.4,50.6,,,
Curtis,Borchardt,Stanford,2003,240lb,,Buffalo,New York,83,3.1,3.3,0.8,42.1,0,74.2,42.1,9,1,,,
Ruben,Boumtje-Boumtje,Georgetown,2001,257lb,,Edea,Cameroon,44,1,1.3,0.1,36.8,-,55.6,36.8,6.4,0.2,,,
Mike,Brittain,South Carolina,1985,235lb,,Clearwater,Florida,38,1.7,1.4,0.2,50,-,52.4,50,4.7,-0.1,,,
Ernest,Brown,Indian Hills Community College,2001,244lb,,Bronx,New York,3,1,2,0,16.7,-,25,16.7,-9.7,-0.2,,,
Wallace,Bryant,San Francisco,1983,245lb,,Madrid,Spain,102,3.2,3.7,1.1,40.7,-,57.3,40.7,9.4,1.3,,,
Joe Barry,Carroll,Purdue,1980,225lb,,Pe Bluff,Arkansas,705,17.7,7.7,1.8,47.4,0,74.7,47.4,16.4,35.6,,,
Duane,Causwell,Temple,1990,240lb,,Queens Village,New York,541,4.9,4.2,0.4,50.7,28.6,61.8,50.8,11.7,15.8,,,
Charles,Claxton,Georgia,1995,265lb,,St. Thomas,U.S. Virgin Islands,3,0.7,0.7,0,50,-,0,50,0.2,0,,,
John,Coker,Boise State,1996,253lb,,Richland,Washington,25,1.6,1.2,0.1,40.9,-,83.3,40.9,8.9,0.1,,,
Ron,Crevier,Boston College,1985,235lb,,Montreal,Canada,3,0,0.3,0,0,-,0,0,-31.7,-0.1,,,
Yinka,Dare,George Washington,1994,265lb,,Kano,Nigeria,110,2.1,2.6,0,39.6,-,57,39.6,6.2,-0.7,,,
Brad,Daugherty,UNC,1986,245lb,,Black Mounta,North Carolina,548,19,9.5,3.7,53.2,14.3,74.7,53.2,18.9,65.2,,,
Kevin,Duckworth,Eastern Illinois University,1986,275lb,,Harvey,Illinois,684,11.8,5.8,0.9,46.8,20.8,73.6,46.8,11.9,24.7,,,
James,Edwards,Washington,1977,225lb,,Seattle,Washington,1168,12.7,5.1,1.3,49.5,4.8,69.8,49.5,14.7,59.7,,,
Jay,Edwards,Washington,1977,225lb,,Seattle,Washington,1168,12.7,5.1,1.3,49.5,4.8,69.8,49.5,14.7,59.7,,,
John,Edwards,Kent State University,2004,275lb,,Warren,Ohio,65,1.5,1,0.1,44.7,-,60,44.7,6,0.1,,,
Francisco,Elson,California,2003,235lb,,Rotterdam,Netherlands,472,3.7,3.5,0.6,47.8,18.8,70,47.9,10,11.7,,,
Patrick,Ewing,Georgetown,1985,240lb,,Kgston,Jamaica,1183,21,9.8,1.9,50.4,15.2,74,50.5,21,126.4,,,
Jeff,Foote,Cornell,2012,265lb,,Lockwood,New York,4,1,1.5,0,33.3,-,-,33.3,-0.9,-0.1,,,
Channing,Frye,Arizona,2005,255lb,,White Plas,New York,890,8.7,4.5,1,44,38.8,82.2,51.9,13.3,38.9,,,
Matt,Geiger,Georgia Tech,1992,243lb,,Salem,Massachusetts,552,9.2,5.7,0.7,49.9,23.2,72.8,50.1,15.2,28.4,,,
Ben,Gillery,Georgetown,1988,235lb,,Detroit,Michigan,24,1,1,0.1,31.6,-,56.5,31.6,5,0,,,
Jim,Grandholm,South Florida,1990,235lb,,Elkhart,Indiana,26,3,1.9,0.3,51.7,52.9,47.6,59.5,16.5,0.4,,,
Paul,Grant,Wisconsin,1999,245lb,,Pittsburgh,Pennsylvania,16,1.8,1.1,0.2,44.8,-,37.5,44.8,4,-0.1,,,
Aaron,Gray,Pitt,2007,270lb,,Tarzana,California,318,3.4,3.7,0.7,50.9,0,56.2,50.9,11.5,6.2,,,
Stuart,Gray,UCLA,1984,235lb,,Panama Canal Zone,Panama,386,2.3,2.6,0.4,44.6,0,66.3,44.6,8.6,3.3,,,
Steve,Hamer,Tennessee,1997,245lb,,Memphis,Tennessee,35,2.2,1.7,0.2,52.6,0,55.2,52.6,8.9,0.2,,,
Justin,Hamilton,LSU,2014,260lb,,Newport Beach,California,113,6.1,3.6,0.8,46.4,30.9,79.8,52.3,13.9,3.7,,,
Geert,Hammink,LSU,1994,262lb,,Didam,Netherlands,8,1.8,0.9,0.3,40,-,66.7,40,14,0.1,,,
AJ,Hammons,Purdue,2016,260lb,,Gary,Indiana,22,2.2,1.6,0.2,40.5,50,45,46.4,8.4,0,,,
David,Harrison,Colorado,2004,280lb,,Nashville,Tennessee,189,5,2.9,0.2,53,-,52.5,53,10.9,3.2,,,
Steve,Hayes,Idaho State University,1981,205lb,,American Falls,Idaho,212,2.6,2.5,0.4,48.2,0,50,48.2,8.4,2.9,,,
Brendan,Haywood,UNC,2001,268lb,,New York,New York,816,6.8,6,0.5,52.8,0,58.7,52.8,14.6,43.8,,,
Steven,Hill,Arkansas,2008,248lb,,Chanute,Kansas,1,2,3,0,100,-,-,100,88.3,0,,,
Donald,Hodge,Temple,1991,230lb,,Washgton,District of Columbia,249,4.7,3.2,0.8,43.7,28.6,71.1,43.9,10.5,1.8,,,
Ryan,Hollins,UCLA,2007,240lb,,Pasadena,California,518,3.7,2.2,0.3,58.4,0,64.9,58.4,11,10.4,,,
Isaac,Humphries,Kentucky,2019,255lb,,Sydney,Australia,5,3,2.2,0,28.6,27.3,-,35.7,3.4,-0.1,,,
Steven,Hunter,DePaul,2001,220lb,,Chicago,Illinois,400,4.5,3.2,0.2,56,0,48.5,56,13,10.6,,,
Jerome,James,Florida A&amp;M,1999,300lb,,Tampa,Florida,358,4.3,3.1,0.3,48.5,0,61.7,48.5,10.6,2.9,,,
Les,Jepsen,Iowa,1990,237lb,,Bowbells,North Dakota,52,1,1.3,0,33.3,0,65,33.3,8.8,0.1,,,
Earl,Jones,University of the District of Columbia,1984,210lb,,Oak Hill,West Virginia,14,0.9,0.7,0.3,38.5,-,75,38.5,0.2,-0.1,,,
Jerome,Jordan,Tulsa,2011,253lb,,Kgston,Jamaica,65,2.8,2,0.3,52.8,-,85.2,52.8,17.1,1.7,,,
Chris,Kaman,Central Michigan University,2003,265lb,,Wyomg,Michigan,735,11.2,7.6,1.3,48.9,4.2,74.3,48.9,14.9,24.6,,,
Rich,Kelley,Stanford,1975,235lb,,San Mateo,California,814,7.6,7,2.6,48.8,0,78.3,48.8,15,42.5,,,
Alex,Kirk,New Mexico,2014,245lb,,Los Alamos,New Mexico,5,0.8,0.2,0.2,25,-,100,25,8.5,0,,,
Travis,Knight,UConn,1996,235lb,,Salt Lake City,Utah,371,3.4,3.1,0.6,43.8,25.9,69.6,44.4,11.4,7.9,,,
Jon,Koncak,SMU,1985,250lb,,Cedar Rapids,Iowa,784,4.5,4.9,1,47,22.6,59.7,47.3,9.8,29.2,,,
Kosta,Koufos,Ohio State,2008,245lb,,Canton,Ohio,686,5.7,5,0.5,53.4,0,58.2,53.4,15.4,28.3,,,
Kevin,Kunnert,Iowa,1973,230lb,,Dubuque,Iowa,555,8.3,7.3,1.4,47.6,-,68.2,47.6,14.6,22,,,
Ed,Lawrence,McNeese State University,1981,228lb,,Lake Charles,Louisiana,3,4,1.3,0.3,62.5,-,50,62.5,19.4,0.1,,,
Alton,Lister,Arizona State,1981,240lb,,Dallas,Texas,953,6.6,6.3,1,51.2,11.1,59.7,51.2,12.9,36.6,,,
Todd,MacCulloch,Washington,1999,280lb,,Wnipeg,Canada,223,6.1,4,0.5,54.1,-,64.2,54.1,16.9,11.9,,,
Bob,Martin,Minnesota,1993,250lb,,Mneapolis,Minnesota,54,2.1,2.2,0.3,44.1,-,60.8,44.1,6.8,0.3,,,
Dan,McClintock,Northern Arizona University,2001,270lb,,Founta Valley,California,6,3,2.8,0.2,50,-,0,50,9.9,0,,,
Fab,Melo,Syracuse,2013,255lb,,Juiz de Forz,Brazil,6,1.2,0.5,0,50,-,25,50,4.9,0,,,
Chris,Mihm,Texas,2000,265lb,,Milwaukee,Wisconsin,436,7.5,5.3,0.5,45.9,23.1,70.4,45.9,13.4,13.3,,,
Paul,Mokeski,Kansas,1979,250lb,,Spokane,Washington,694,4,3.4,0.7,45.1,21.6,69.4,45.3,8.9,13.5,,,
Eric,Montross,UNC,1994,270lb,,Indianapolis,Indiana,465,4.5,4.6,0.4,49,0,47.8,49,9.1,8.5,,,
Ron,Moore,West Virginia State University,1987,260lb,,New York,New York,14,1.7,0.6,0.1,31,-,75,31,2,-0.1,,,
Byron,Mullens,Ohio State,2009,275lb,,Canal Wchester,Ohio,189,7.4,4.2,0.8,40.8,31.9,70.6,44.8,12.2,0.6,,,
Todd,Mundt,Delta State University,1995,250lb,,Iowa City,Iowa,33,1.1,0.8,0.1,39,-,62.5,39,7,0.1,,,
Hamady,Ndiaye,Rutgers University,2010,235lb,,Dakar,Senegal,33,0.6,0.8,0.1,46.7,-,46.2,46.7,3.9,0,,,
Dave,Newmark,Columbia University,1970,240lb,,Brooklyn,New York,176,5.7,3.9,0.7,42,-,64.9,42,12.3,1.9,,,
Rich,Niemann,Saint Louis,1969,245lb,,St. Louis,Missouri,187,6.6,5.8,0.8,47.6,-,73.5,47.6,14.9,7.3,,,
Greg,Oden,Ohio State,2008,250lb,,Buffalo,New York,105,8,6.2,0.5,57.4,-,65.8,57.4,18.7,7.3,,,
Hakeem,Olajuwon,Houston,1984,255lb,,Lagos,Nigeria,1238,21.8,11.1,2.5,51.2,20.2,71.2,51.3,23.6,162.8,,,
Jawann,Oldham,Seattle University,1980,215lb,,Chicago,Illinois,329,4.4,4.1,0.5,47.9,0,60.7,47.9,10.7,4.3,,,
Michael,Olowokandi,University of the Pacific,1999,269lb,,Lagos,Nigeria,500,8.3,6.8,0.7,43.5,-,59.7,43.5,10.7,2.5,,,
Will,Perdue,Vanderbilt,1988,240lb,,Melbourne,Florida,792,4.7,4.9,0.8,51.5,6.7,57.7,51.6,13.6,26.6,,,
Blair,Rasmussen,Oregon,1985,250lb,,Auburn,Washington,532,9.6,5.7,0.9,47.2,25.7,76.7,47.3,13.3,19,,,
Bryant,Reeves,Oklahoma State,1995,275lb,,Fort Smith,Arkansas,395,12.5,6.9,1.6,47.5,7.4,70.3,47.5,13.8,13,,,
Eric,Riley,Michigan,1993,245lb,,Cleveland,Ohio,186,3.1,2.6,0.3,45.6,0,70.4,45.6,12.5,2.5,,,
Stanley,Roberts,LSU,1991,285lb,,Hopks,South Carolina,300,8.5,5.2,0.6,49.9,0,51.4,49.9,13.6,8.1,,,
Robert,Sacre,Gonzaga,2012,270lb,,Baton Rouge,Louisiana,189,4.2,3.1,0.7,43.6,0,67.1,43.6,10.8,2.4,,,
